,code,description
75,C62.1,Iridosclerotomy
76,C61.2,Trabeculotomy
77,C60.6,Viscocanulostomy
78,C61.3,Goniotomy
79,C62.9,Unspecified incision of iris
80,C61.8,Other specified other operations on trabecular meshwork of eye
81,C60.9,Unspecified filtering operations on iris
82,C62.3,Laser iridotomy
83,C60.4,Iridoplasty NEC
84,C60.2,Inclusion of iris
85,C61.5,Viscogonioplasty
86,C61.1,Laser trabeculoplasty
87,C60.8,Other specified filtering operations on iris
88,C60.1,Trabeculectomy
89,C61.4,Goniopuncture
90,C60.3,Fixation of iris
91,C62.4,Correction iridodialysis NEC
92,C62.2,Surgical iridotomy
93,C61.9,Unspecified other operations on trabecular meshwork of eye
94,C60.5,Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour
95,C62.8,Other specified incision of iris
