,concept_code_y,concept_name_y,icd
74,0UWH0JZ,"Revision of Synthetic Substitute in Vagina and Cul-de-sac, Open Approach",0UWH0JZ
75,0UWH4JZ,"Revision of Synthetic Substitute in Vagina and Cul-de-sac, Percutaneous Endoscopic Approach",0UWH4JZ
76,0UWH77Z,"Revision of Autologous Tissue Substitute in Vagina and Cul-de-sac, Via Natural or Artificial Opening",0UWH77Z
77,0UWH7JZ,"Revision of Synthetic Substitute in Vagina and Cul-de-sac, Via Natural or Artificial Opening",0UWH7JZ
78,0UWH7KZ,"Revision of Nonautologous Tissue Substitute in Vagina and Cul-de-sac, Via Natural or Artificial Opening",0UWH7KZ
79,0UWH8JZ,"Revision of Synthetic Substitute in Vagina and Cul-de-sac, Via Natural or Artificial Opening Endoscopic",0UWH8JZ
80,0UWHXJZ,"Revision of Synthetic Substitute in Vagina and Cul-de-sac, External Approach",0UWHXJZ
174,0D5V0ZZ,"Destruction of Mesentery, Open Approach",0D5V0ZZ
175,0D5V3ZZ,"Destruction of Mesentery, Percutaneous Approach",0D5V3ZZ
176,0D5V4ZZ,"Destruction of Mesentery, Percutaneous Endoscopic Approach",0D5V4ZZ
252,0U5F0ZZ,"Destruction of Cul-de-sac, Open Approach",0U5F0ZZ
253,0U5F3ZZ,"Destruction of Cul-de-sac, Percutaneous Approach",0U5F3ZZ
254,0U5F4ZZ,"Destruction of Cul-de-sac, Percutaneous Endoscopic Approach",0U5F4ZZ
255,0U5F7ZZ,"Destruction of Cul-de-sac, Via Natural or Artificial Opening",0U5F7ZZ
256,0U5F8ZZ,"Destruction of Cul-de-sac, Via Natural or Artificial Opening Endoscopic",0U5F8ZZ
416,0DBU0ZX,"Excision of Omentum, Open Approach, Diagnostic",0DBU0ZX
417,0DBU3ZX,"Excision of Omentum, Percutaneous Approach, Diagnostic",0DBU3ZX
418,0DBU4ZX,"Excision of Omentum, Percutaneous Endoscopic Approach, Diagnostic",0DBU4ZX
