,concept_code_y,concept_name_y,opcs
722,0VQ50ZZ,"Repair Scrotum, Open Approach",0VQ50ZZ
723,0VQ53ZZ,"Repair Scrotum, Percutaneous Approach",0VQ53ZZ
724,0VQ54ZZ,"Repair Scrotum, Percutaneous Endoscopic Approach",0VQ54ZZ
725,0VQ5XZZ,"Repair Scrotum, External Approach",0VQ5XZZ
934,02H430Z,"Insertion of Pressure Sensor Monitoring Device into Coronary Vein, Percutaneous Approach",02H430Z
935,02H432Z,"Insertion of Monitoring Device into Coronary Vein, Percutaneous Approach",02H432Z
936,02H433Z,"Insertion of Infusion Device into Coronary Vein, Percutaneous Approach",02H433Z
937,02H43DZ,"Insertion of Intraluminal Device into Coronary Vein, Percutaneous Approach",02H43DZ
938,02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",02H43JZ
939,02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",02H43KZ
940,02H43MZ,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Approach",02H43MZ
941,02H43NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Percutaneous Approach",02H43NZ
942,02H43YZ,"Insertion of Other Device into Coronary Vein, Percutaneous Approach",02H43YZ
943,02HA3QZ,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach",02HA3QZ
944,02HA3RS,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RS
945,02HA3RZ,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RZ
946,02HA3YZ,"Insertion of Other Device into Heart, Percutaneous Approach",02HA3YZ
947,02UA37Z,"Supplement Heart with Autologous Tissue Substitute, Percutaneous Approach",02UA37Z
948,02UA38Z,"Supplement Heart with Zooplastic Tissue, Percutaneous Approach",02UA38Z
949,02UA3JZ,"Supplement Heart with Synthetic Substitute, Percutaneous Approach",02UA3JZ
950,02UA3KZ,"Supplement Heart with Nonautologous Tissue Substitute, Percutaneous Approach",02UA3KZ
951,3E070GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Open Approach",3E070GC
952,3E073GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Approach",3E073GC
953,3E074GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Endoscopic Approach",3E074GC
954,3E080GC,"Introduction of Other Therapeutic Substance into Heart, Open Approach",3E080GC
955,3E083GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Approach",3E083GC
956,3E084GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Endoscopic Approach",3E084GC
1302,BF45ZZZ,Ultrasonography of Liver,BF45ZZZ
1493,0N5B0ZZ,"Destruction of Nasal Bone, Open Approach",0N5B0ZZ
1494,0N5B3ZZ,"Destruction of Nasal Bone, Percutaneous Approach",0N5B3ZZ
1495,0N5B4ZZ,"Destruction of Nasal Bone, Percutaneous Endoscopic Approach",0N5B4ZZ
1496,0N5R0ZZ,"Destruction of Maxilla, Open Approach",0N5R0ZZ
1497,0N5R3ZZ,"Destruction of Maxilla, Percutaneous Approach",0N5R3ZZ
1498,0N5R4ZZ,"Destruction of Maxilla, Percutaneous Endoscopic Approach",0N5R4ZZ
1499,0N5T0ZZ,"Destruction of Right Mandible, Open Approach",0N5T0ZZ
1500,0N5T3ZZ,"Destruction of Right Mandible, Percutaneous Approach",0N5T3ZZ
1501,0N5T4ZZ,"Destruction of Right Mandible, Percutaneous Endoscopic Approach",0N5T4ZZ
1502,0N5V0ZZ,"Destruction of Left Mandible, Open Approach",0N5V0ZZ
1503,0N5V3ZZ,"Destruction of Left Mandible, Percutaneous Approach",0N5V3ZZ
1504,0N5V4ZZ,"Destruction of Left Mandible, Percutaneous Endoscopic Approach",0N5V4ZZ
1505,DPY27ZZ,Contact Radiation of Maxilla,DPY27ZZ
1506,DPY37ZZ,Contact Radiation of Mandible,DPY37ZZ
1532,0QBS0ZX,"Excision of Coccyx, Open Approach, Diagnostic",0QBS0ZX
1533,0QBS0ZZ,"Excision of Coccyx, Open Approach",0QBS0ZZ
1534,0QBS3ZX,"Excision of Coccyx, Percutaneous Approach, Diagnostic",0QBS3ZX
1535,0QBS3ZZ,"Excision of Coccyx, Percutaneous Approach",0QBS3ZZ
1536,0QBS4ZX,"Excision of Coccyx, Percutaneous Endoscopic Approach, Diagnostic",0QBS4ZX
1537,0QBS4ZZ,"Excision of Coccyx, Percutaneous Endoscopic Approach",0QBS4ZZ
1538,0QTS0ZZ,"Resection of Coccyx, Open Approach",0QTS0ZZ
1551,0Q500ZZ,"Destruction of Lumbar Vertebra, Open Approach",0Q500ZZ
1552,0Q503ZZ,"Destruction of Lumbar Vertebra, Percutaneous Approach",0Q503ZZ
1553,0Q504ZZ,"Destruction of Lumbar Vertebra, Percutaneous Endoscopic Approach",0Q504ZZ
1554,0Q5S0ZZ,"Destruction of Coccyx, Open Approach",0Q5S0ZZ
1555,0Q5S3ZZ,"Destruction of Coccyx, Percutaneous Approach",0Q5S3ZZ
1556,0Q5S4ZZ,"Destruction of Coccyx, Percutaneous Endoscopic Approach",0Q5S4ZZ
1557,0P530ZZ,"Destruction of Cervical Vertebra, Open Approach",0P530ZZ
1558,0P533ZZ,"Destruction of Cervical Vertebra, Percutaneous Approach",0P533ZZ
1559,0P534ZZ,"Destruction of Cervical Vertebra, Percutaneous Endoscopic Approach",0P534ZZ
1560,0P540ZZ,"Destruction of Thoracic Vertebra, Open Approach",0P540ZZ
1561,0P543ZZ,"Destruction of Thoracic Vertebra, Percutaneous Approach",0P543ZZ
1562,0P544ZZ,"Destruction of Thoracic Vertebra, Percutaneous Endoscopic Approach",0P544ZZ
1578,09BP0ZX,"Excision of Accessory Sinus, Open Approach, Diagnostic",09BP0ZX
1579,09BP0ZZ,"Excision of Accessory Sinus, Open Approach",09BP0ZZ
1580,09BP3ZX,"Excision of Accessory Sinus, Percutaneous Approach, Diagnostic",09BP3ZX
1581,09BP3ZZ,"Excision of Accessory Sinus, Percutaneous Approach",09BP3ZZ
1582,09BP4ZX,"Excision of Accessory Sinus, Percutaneous Endoscopic Approach, Diagnostic",09BP4ZX
1583,09BP4ZZ,"Excision of Accessory Sinus, Percutaneous Endoscopic Approach",09BP4ZZ
1584,09TP0ZZ,"Resection of Accessory Sinus, Open Approach",09TP0ZZ
1585,09TP4ZZ,"Resection of Accessory Sinus, Percutaneous Endoscopic Approach",09TP4ZZ
1600,09BP8ZX,"Excision of Accessory Sinus, Via Natural or Artificial Opening Endoscopic, Diagnostic",09BP8ZX
1601,09BP8ZZ,"Excision of Accessory Sinus, Via Natural or Artificial Opening Endoscopic",09BP8ZZ
1602,09TP8ZZ,"Resection of Accessory Sinus, Via Natural or Artificial Opening Endoscopic",09TP8ZZ
1604,D917B6Z,Low Dose Rate (LDR) Brachytherapy of Sinuses using Cesium 131 (Cs-131),D917B6Z
1605,D917BB1,"Low Dose Rate (LDR) Brachytherapy of Sinuses using Palladium 103 (Pd-103), Unidirectional Source",D917BB1
