,concept_code_y,concept_name_y,icd
513,89.55,Phonocardiogram with ECG lead,89.55
565,56.2,Ureterotomy,56.2
594,34.83,Closure of fistula of diaphragm,34.83
771,77.66,"Local excision of lesion or tissue of bone, patella",77.66
794,79.68,"Debridement of open fracture site, phalanges of foot",79.68
1189,22.6,Other nasal sinusectomy,22.6
1190,22.60,"Sinusectomy, not otherwise specified",22.60
1191,22.62,Excision of lesion of maxillary sinus with other approach,22.62
1530,55.32,Open ablation of renal lesion or tissue,55.32
1531,55.33,Percutaneous ablation of renal lesion or tissue,55.33
1532,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
1585,56.4,Ureterectomy,56.4
1586,56.40,"Ureterectomy, not otherwise specified",56.40
1984,12.87,Scleral reinforcement with graft,12.87
2369,18.3,Other excision of external ear,18.3
2370,18.39,Other excision of external ear,18.39
2417,34.81,Excision of lesion or tissue of diaphragm,34.81
2558,33.23,Other bronchoscopy,33.23
2674,67.11,Endocervical biopsy,67.11
2703,81.43,Triad knee repair,81.43
2718,94.26,Subconvulsive electroshock therapy,94.26
2902,77.6,Local excision of lesion or tissue of bone,77.6
2903,77.60,"Local excision of lesion or tissue of bone, unspecified site",77.60
2904,77.61,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]",77.61
2905,77.64,"Local excision of lesion or tissue of bone, carpals and metacarpals",77.64
2906,77.65,"Local excision of lesion or tissue of bone, femur",77.65
2908,77.68,"Local excision of lesion or tissue of bone, tarsals and metatarsals",77.68
2909,77.69,"Local excision of lesion or tissue of bone, other bones",77.69
2977,80.59,Other destruction of intervertebral disc,80.59
3098,79.05,"Closed reduction of fracture without internal fixation, femur",79.05
3227,35.71,Other and unspecified repair of atrial septal defect,35.71
3254,35.01,"Closed heart valvotomy, aortic valve",35.01
3315,38.68,"Other excision of vessels, lower limb arteries",38.68
3436,27.61,Suture of laceration of palate,27.61
3470,29.53,Closure of other fistula of pharynx,29.53
3518,57.6,Partial cystectomy,57.6
3585,64.41,Suture of laceration of penis,64.41
3659,69.4,Uterine repair,69.4
3660,69.49,Other repair of uterus,69.49
3661,75.5,Repair of current obstetric laceration of uterus,75.5
3829,73.51,Manual rotation of fetal head,73.51
3870,08.01,Incision of lid margin,08.01
3901,08.92,Cryosurgical epilation of eyelid,08.92
4092,87.7,X-ray of urinary system,87.7
