,concept_code_y,concept_name_y,opcs
9,0DVP0CZ,"Restriction of Rectum with Extraluminal Device, Open Approach",0DVP0CZ
10,0DVP0DZ,"Restriction of Rectum with Intraluminal Device, Open Approach",0DVP0DZ
11,0DVP0ZZ,"Restriction of Rectum, Open Approach",0DVP0ZZ
12,0DVP3CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Approach",0DVP3CZ
13,0DVP3DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Approach",0DVP3DZ
14,0DVP3ZZ,"Restriction of Rectum, Percutaneous Approach",0DVP3ZZ
15,0DVP4CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach",0DVP4CZ
16,0DVP4DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Endoscopic Approach",0DVP4DZ
17,0DVP4ZZ,"Restriction of Rectum, Percutaneous Endoscopic Approach",0DVP4ZZ
18,0DVP7DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening",0DVP7DZ
19,0DVP7ZZ,"Restriction of Rectum, Via Natural or Artificial Opening",0DVP7ZZ
20,0DVP8DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",0DVP8DZ
21,0DVP8ZZ,"Restriction of Rectum, Via Natural or Artificial Opening Endoscopic",0DVP8ZZ
556,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
557,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
558,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
559,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
560,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
561,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
562,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
563,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
564,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
565,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
566,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
567,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
568,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
569,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
570,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
571,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
572,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
573,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
574,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
575,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
576,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
577,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
578,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
579,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
580,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
581,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
582,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
583,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
584,DB27JZZ,Stereotactic Gamma Beam Radiosurgery of Chest Wall,DB27JZZ
585,DB28DZZ,Stereotactic Other Photon Radiosurgery of Diaphragm,DB28DZZ
586,DB28HZZ,Stereotactic Particulate Radiosurgery of Diaphragm,DB28HZZ
587,DB28JZZ,Stereotactic Gamma Beam Radiosurgery of Diaphragm,DB28JZZ
588,DW21DZZ,Stereotactic Other Photon Radiosurgery of Head and Neck,DW21DZZ
589,DW21HZZ,Stereotactic Particulate Radiosurgery of Head and Neck,DW21HZZ
590,DW21JZZ,Stereotactic Gamma Beam Radiosurgery of Head and Neck,DW21JZZ
591,DW22DZZ,Stereotactic Other Photon Radiosurgery of Chest,DW22DZZ
592,DW22HZZ,Stereotactic Particulate Radiosurgery of Chest,DW22HZZ
593,DW22JZZ,Stereotactic Gamma Beam Radiosurgery of Chest,DW22JZZ
594,DW23DZZ,Stereotactic Other Photon Radiosurgery of Abdomen,DW23DZZ
595,DW23HZZ,Stereotactic Particulate Radiosurgery of Abdomen,DW23HZZ
596,DW23JZZ,Stereotactic Gamma Beam Radiosurgery of Abdomen,DW23JZZ
597,DW26DZZ,Stereotactic Other Photon Radiosurgery of Pelvic Region,DW26DZZ
598,DW26HZZ,Stereotactic Particulate Radiosurgery of Pelvic Region,DW26HZZ
599,DW26JZZ,Stereotactic Gamma Beam Radiosurgery of Pelvic Region,DW26JZZ
600,DD20DZZ,Stereotactic Other Photon Radiosurgery of Esophagus,DD20DZZ
601,DD20HZZ,Stereotactic Particulate Radiosurgery of Esophagus,DD20HZZ
602,DD20JZZ,Stereotactic Gamma Beam Radiosurgery of Esophagus,DD20JZZ
603,DD21DZZ,Stereotactic Other Photon Radiosurgery of Stomach,DD21DZZ
604,DD21HZZ,Stereotactic Particulate Radiosurgery of Stomach,DD21HZZ
605,DD21JZZ,Stereotactic Gamma Beam Radiosurgery of Stomach,DD21JZZ
606,DD22DZZ,Stereotactic Other Photon Radiosurgery of Duodenum,DD22DZZ
607,DD22HZZ,Stereotactic Particulate Radiosurgery of Duodenum,DD22HZZ
608,DD22JZZ,Stereotactic Gamma Beam Radiosurgery of Duodenum,DD22JZZ
609,DD23DZZ,Stereotactic Other Photon Radiosurgery of Jejunum,DD23DZZ
610,DD23HZZ,Stereotactic Particulate Radiosurgery of Jejunum,DD23HZZ
611,DD23JZZ,Stereotactic Gamma Beam Radiosurgery of Jejunum,DD23JZZ
612,DD24DZZ,Stereotactic Other Photon Radiosurgery of Ileum,DD24DZZ
613,DD24HZZ,Stereotactic Particulate Radiosurgery of Ileum,DD24HZZ
614,DD24JZZ,Stereotactic Gamma Beam Radiosurgery of Ileum,DD24JZZ
615,DD25DZZ,Stereotactic Other Photon Radiosurgery of Colon,DD25DZZ
616,DD25HZZ,Stereotactic Particulate Radiosurgery of Colon,DD25HZZ
617,DD25JZZ,Stereotactic Gamma Beam Radiosurgery of Colon,DD25JZZ
618,DD27DZZ,Stereotactic Other Photon Radiosurgery of Rectum,DD27DZZ
619,DD27HZZ,Stereotactic Particulate Radiosurgery of Rectum,DD27HZZ
620,DD27JZZ,Stereotactic Gamma Beam Radiosurgery of Rectum,DD27JZZ
621,D020DZZ,Stereotactic Other Photon Radiosurgery of Brain,D020DZZ
622,D020HZZ,Stereotactic Particulate Radiosurgery of Brain,D020HZZ
623,D020JZZ,Stereotactic Gamma Beam Radiosurgery of Brain,D020JZZ
624,D021DZZ,Stereotactic Other Photon Radiosurgery of Brain Stem,D021DZZ
625,D021HZZ,Stereotactic Particulate Radiosurgery of Brain Stem,D021HZZ
626,D021JZZ,Stereotactic Gamma Beam Radiosurgery of Brain Stem,D021JZZ
627,D026DZZ,Stereotactic Other Photon Radiosurgery of Spinal Cord,D026DZZ
628,D026HZZ,Stereotactic Particulate Radiosurgery of Spinal Cord,D026HZZ
629,D026JZZ,Stereotactic Gamma Beam Radiosurgery of Spinal Cord,D026JZZ
630,D027DZZ,Stereotactic Other Photon Radiosurgery of Peripheral Nerve,D027DZZ
631,D027HZZ,Stereotactic Particulate Radiosurgery of Peripheral Nerve,D027HZZ
632,D027JZZ,Stereotactic Gamma Beam Radiosurgery of Peripheral Nerve,D027JZZ
633,DF20DZZ,Stereotactic Other Photon Radiosurgery of Liver,DF20DZZ
634,DF20HZZ,Stereotactic Particulate Radiosurgery of Liver,DF20HZZ
635,DF20JZZ,Stereotactic Gamma Beam Radiosurgery of Liver,DF20JZZ
636,DF21DZZ,Stereotactic Other Photon Radiosurgery of Gallbladder,DF21DZZ
637,DF21HZZ,Stereotactic Particulate Radiosurgery of Gallbladder,DF21HZZ
638,DF21JZZ,Stereotactic Gamma Beam Radiosurgery of Gallbladder,DF21JZZ
639,DF22DZZ,Stereotactic Other Photon Radiosurgery of Bile Ducts,DF22DZZ
640,DF22HZZ,Stereotactic Particulate Radiosurgery of Bile Ducts,DF22HZZ
641,DF22JZZ,Stereotactic Gamma Beam Radiosurgery of Bile Ducts,DF22JZZ
642,DF23DZZ,Stereotactic Other Photon Radiosurgery of Pancreas,DF23DZZ
643,DF23HZZ,Stereotactic Particulate Radiosurgery of Pancreas,DF23HZZ
644,DF23JZZ,Stereotactic Gamma Beam Radiosurgery of Pancreas,DF23JZZ
645,DG20DZZ,Stereotactic Other Photon Radiosurgery of Pituitary Gland,DG20DZZ
646,DG20HZZ,Stereotactic Particulate Radiosurgery of Pituitary Gland,DG20HZZ
647,DG20JZZ,Stereotactic Gamma Beam Radiosurgery of Pituitary Gland,DG20JZZ
648,DG21DZZ,Stereotactic Other Photon Radiosurgery of Pineal Body,DG21DZZ
649,DG21HZZ,Stereotactic Particulate Radiosurgery of Pineal Body,DG21HZZ
650,DG21JZZ,Stereotactic Gamma Beam Radiosurgery of Pineal Body,DG21JZZ
651,DG22DZZ,Stereotactic Other Photon Radiosurgery of Adrenal Glands,DG22DZZ
652,DG22HZZ,Stereotactic Particulate Radiosurgery of Adrenal Glands,DG22HZZ
653,DG22JZZ,Stereotactic Gamma Beam Radiosurgery of Adrenal Glands,DG22JZZ
654,D720DZZ,Stereotactic Other Photon Radiosurgery of Bone Marrow,D720DZZ
655,D720HZZ,Stereotactic Particulate Radiosurgery of Bone Marrow,D720HZZ
656,D720JZZ,Stereotactic Gamma Beam Radiosurgery of Bone Marrow,D720JZZ
