,concept_code_y,concept_name_y,opcs
8,48.76,Other proctopexy,48.76
96,92.24,Teleradiotherapy using photons,92.24
153,48.75,Abdominal proctopexy,48.75
166,92.26,Teleradiotherapy of other particulate radiation,92.26
167,92.33,Particulate radiosurgery,92.33
311,92.3,Stereotactic radiosurgery,92.3
312,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
313,92.32,Multi-source photon radiosurgery,92.32
315,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
820,48.23,Rigid proctosigmoidoscopy,48.23
917,17.36,Laparoscopic sigmoidectomy,17.36
990,49.91,Incision of anal septum,49.91
1139,92.4,Intra-operative radiation procedures,92.4
1140,92.41,Intra-operative electron radiation therapy,92.41
1905,48.82,Excision of perirectal tissue,48.82
3310,48.72,Closure of proctostomy,48.72
3382,49.03,Excision of perianal skin tags,49.03
3615,96.23,Dilation of anal sphincter,96.23
3679,48.74,Rectorectostomy,48.74
3779,49.52,Posterior anal sphincterotomy,49.52
3855,48.73,Closure of other rectal fistula,48.73
3958,49.72,Anal cerclage,49.72
4163,48.31,Radical electrocoagulation of rectal lesion or tissue,48.31
4164,48.32,Other electrocoagulation of rectal lesion or tissue,48.32
4431,48.92,Anorectal myectomy,48.92
4510,49.79,Other repair of anal sphincter,49.79
4919,49.46,Excision of hemorrhoids,49.46
4955,49.93,Other incision of anus,49.93
4986,70.72,Repair of colovaginal fistula,70.72
5073,45.8,Total intra-abdominal colectomy,45.8
5074,45.81,Laparoscopic total intra-abdominal colectomy,45.81
5075,45.82,Open total intra-abdominal colectomy,45.82
5076,45.83,Other and unspecified total intra-abdominal colectomy,45.83
5400,45.74,Open and other resection of transverse colon,45.74
5738,48.36,[Endoscopic] polypectomy of rectum,48.36
5795,48.24,Closed [endoscopic] biopsy of rectum,48.24
5884,48.41,Soave submucosal resection of rectum,48.41
5939,48.7,Repair of rectum,48.7
5942,48.79,Other repair of rectum,48.79
5984,96.37,Proctoclysis,96.37
6118,46.91,Myotomy of sigmoid colon,46.91
6180,49.44,Destruction of hemorrhoids by cryotherapy,49.44
6255,49.51,Left lateral anal sphincterotomy,49.51
6542,17.32,Laparoscopic cecectomy,17.32
6543,45.72,Open and other cecectomy,45.72
6590,17.34,Laparoscopic resection of transverse colon,17.34
6957,48.34,Destruction of rectal lesion or tissue by cryosurgery,48.34
8040,48.0,Proctotomy,48.0
8095,42.55,Intrathoracic esophageal anastomosis with interposition of colon,42.55
8139,45.73,Open and other right hemicolectomy,45.73
8277,75.62,Repair of current obstetric laceration of rectum and sphincter ani,75.62
8578,00.10,Implantation of chemotherapeutic agent,00.10
8579,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
8616,49.23,Biopsy of anus,49.23
8798,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
8855,46.11,Temporary colostomy,46.11
9074,49.43,Cauterization of hemorrhoids,49.43
9121,70.52,Repair of rectocele,70.52
9122,70.55,Repair of rectocele with graft or prosthesis,70.55
9139,46.1,Colostomy,46.1
9140,46.10,"Colostomy, not otherwise specified",46.10
9271,46.13,Permanent colostomy,46.13
9306,89.34,Digital examination of rectum,89.34
10189,96.26,Manual reduction of rectal prolapse,96.26
10415,45.24,Flexible sigmoidoscopy,45.24
10707,92.31,Single source photon radiosurgery,92.31
10903,49.71,Suture of laceration of anus,49.71
10924,48.71,Suture of laceration of rectum,48.71
10985,49.94,Reduction of anal prolapse,49.94
11052,48.64,Posterior resection of rectum,48.64
11060,48.63,Other anterior resection of rectum,48.63
11093,92.25,Teleradiotherapy using electrons,92.25
11147,49.7,Repair of anus,49.7
11148,49.73,Closure of anal fistula,49.73
11149,49.74,Gracilis muscle transplant for anal incontinence,49.74
11150,49.75,Implantation or revision of artificial anal sphincter,49.75
11238,48.91,Incision of rectal stricture,48.91
11431,17.33,Laparoscopic right hemicolectomy,17.33
11461,45.92,Anastomosis of small intestine to rectal stump,45.92
11484,49.41,Reduction of hemorrhoids,49.41
11570,92.22,Orthovoltage radiation,92.22
11586,42.56,Other intrathoracic esophagocolostomy,42.56
11657,48.25,Open biopsy of rectum,48.25
11757,96.22,Dilation of rectum,96.22
11923,46.14,Delayed opening of colostomy,46.14
12011,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
12028,70.73,Repair of rectovaginal fistula,70.73
12656,49.95,Control of (postoperative) hemorrhage of anus,49.95
13119,46.92,Myotomy of other parts of colon,46.92
13133,45.23,Colonoscopy,45.23
13552,92.21,Superficial radiation,92.21
13739,46.76,Closure of fistula of large intestine,46.76
13764,49.11,Anal fistulotomy,49.11
13869,48.61,Transsacral rectosigmoidectomy,48.61
13880,48.33,Destruction of rectal lesion or tissue by laser,48.33
13938,45.75,Open and other left hemicolectomy,45.75
14049,99.88,Therapeutic photopheresis,99.88
14067,49.42,Injection of hemorrhoids,49.42
14094,45.76,Open and other sigmoidectomy,45.76
14149,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
14175,48.4,Pull-through resection of rectum,48.4
14176,48.40,"Pull-through resection of rectum, not otherwise specified",48.40
14177,48.42,Laparoscopic pull-through resection of rectum,48.42
14178,48.43,Open pull-through resection of rectum,48.43
14179,48.49,Other pull-through resection of rectum,48.49
14190,49.12,Anal fistulectomy,49.12
14300,48.35,Local excision of rectal lesion or tissue,48.35
14301,48.6,Other resection of rectum,48.6
14302,48.69,Other resection of rectum,48.69
14421,99.93,Rectal massage (for levator spasm),99.93
14518,48.62,Anterior resection of rectum with synchronous colostomy,48.62
14535,49.5,Division of anal sphincter,49.5
14536,49.59,Other anal sphincterotomy,49.59
14596,49.47,Evacuation of thrombosed hemorrhoids,49.47
14655,42.65,Antesternal esophageal anastomosis with interposition of colon,42.65
14656,42.66,Other antesternal esophagocolostomy,42.66
