,concept_code_y,concept_name_y,icd
9,0DVP0CZ,"Restriction of Rectum with Extraluminal Device, Open Approach",0DVP0CZ
10,0DVP0DZ,"Restriction of Rectum with Intraluminal Device, Open Approach",0DVP0DZ
11,0DVP0ZZ,"Restriction of Rectum, Open Approach",0DVP0ZZ
12,0DVP3CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Approach",0DVP3CZ
13,0DVP3DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Approach",0DVP3DZ
14,0DVP3ZZ,"Restriction of Rectum, Percutaneous Approach",0DVP3ZZ
15,0DVP4CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach",0DVP4CZ
16,0DVP4DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Endoscopic Approach",0DVP4DZ
17,0DVP4ZZ,"Restriction of Rectum, Percutaneous Endoscopic Approach",0DVP4ZZ
18,0DVP7DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening",0DVP7DZ
19,0DVP7ZZ,"Restriction of Rectum, Via Natural or Artificial Opening",0DVP7ZZ
20,0DVP8DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",0DVP8DZ
21,0DVP8ZZ,"Restriction of Rectum, Via Natural or Artificial Opening Endoscopic",0DVP8ZZ
292,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
293,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
294,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
295,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
296,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
297,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
298,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
299,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
300,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
301,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
302,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
303,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
304,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
305,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
306,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
307,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
308,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
309,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
310,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
311,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
312,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
313,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
314,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
315,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
316,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
317,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
318,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
319,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
320,DB27JZZ,Stereotactic Gamma Beam Radiosurgery of Chest Wall,DB27JZZ
321,DB28DZZ,Stereotactic Other Photon Radiosurgery of Diaphragm,DB28DZZ
322,DB28HZZ,Stereotactic Particulate Radiosurgery of Diaphragm,DB28HZZ
323,DB28JZZ,Stereotactic Gamma Beam Radiosurgery of Diaphragm,DB28JZZ
324,DW21DZZ,Stereotactic Other Photon Radiosurgery of Head and Neck,DW21DZZ
325,DW21HZZ,Stereotactic Particulate Radiosurgery of Head and Neck,DW21HZZ
326,DW21JZZ,Stereotactic Gamma Beam Radiosurgery of Head and Neck,DW21JZZ
327,DW22DZZ,Stereotactic Other Photon Radiosurgery of Chest,DW22DZZ
328,DW22HZZ,Stereotactic Particulate Radiosurgery of Chest,DW22HZZ
329,DW22JZZ,Stereotactic Gamma Beam Radiosurgery of Chest,DW22JZZ
330,DW23DZZ,Stereotactic Other Photon Radiosurgery of Abdomen,DW23DZZ
331,DW23HZZ,Stereotactic Particulate Radiosurgery of Abdomen,DW23HZZ
332,DW23JZZ,Stereotactic Gamma Beam Radiosurgery of Abdomen,DW23JZZ
333,DW26DZZ,Stereotactic Other Photon Radiosurgery of Pelvic Region,DW26DZZ
334,DW26HZZ,Stereotactic Particulate Radiosurgery of Pelvic Region,DW26HZZ
335,DW26JZZ,Stereotactic Gamma Beam Radiosurgery of Pelvic Region,DW26JZZ
336,DD20DZZ,Stereotactic Other Photon Radiosurgery of Esophagus,DD20DZZ
337,DD20HZZ,Stereotactic Particulate Radiosurgery of Esophagus,DD20HZZ
338,DD20JZZ,Stereotactic Gamma Beam Radiosurgery of Esophagus,DD20JZZ
339,DD21DZZ,Stereotactic Other Photon Radiosurgery of Stomach,DD21DZZ
340,DD21HZZ,Stereotactic Particulate Radiosurgery of Stomach,DD21HZZ
341,DD21JZZ,Stereotactic Gamma Beam Radiosurgery of Stomach,DD21JZZ
342,DD22DZZ,Stereotactic Other Photon Radiosurgery of Duodenum,DD22DZZ
343,DD22HZZ,Stereotactic Particulate Radiosurgery of Duodenum,DD22HZZ
344,DD22JZZ,Stereotactic Gamma Beam Radiosurgery of Duodenum,DD22JZZ
345,DD23DZZ,Stereotactic Other Photon Radiosurgery of Jejunum,DD23DZZ
346,DD23HZZ,Stereotactic Particulate Radiosurgery of Jejunum,DD23HZZ
347,DD23JZZ,Stereotactic Gamma Beam Radiosurgery of Jejunum,DD23JZZ
348,DD24DZZ,Stereotactic Other Photon Radiosurgery of Ileum,DD24DZZ
349,DD24HZZ,Stereotactic Particulate Radiosurgery of Ileum,DD24HZZ
350,DD24JZZ,Stereotactic Gamma Beam Radiosurgery of Ileum,DD24JZZ
351,DD25DZZ,Stereotactic Other Photon Radiosurgery of Colon,DD25DZZ
352,DD25HZZ,Stereotactic Particulate Radiosurgery of Colon,DD25HZZ
353,DD25JZZ,Stereotactic Gamma Beam Radiosurgery of Colon,DD25JZZ
354,DD27DZZ,Stereotactic Other Photon Radiosurgery of Rectum,DD27DZZ
355,DD27HZZ,Stereotactic Particulate Radiosurgery of Rectum,DD27HZZ
356,DD27JZZ,Stereotactic Gamma Beam Radiosurgery of Rectum,DD27JZZ
357,D020DZZ,Stereotactic Other Photon Radiosurgery of Brain,D020DZZ
358,D020HZZ,Stereotactic Particulate Radiosurgery of Brain,D020HZZ
359,D020JZZ,Stereotactic Gamma Beam Radiosurgery of Brain,D020JZZ
360,D021DZZ,Stereotactic Other Photon Radiosurgery of Brain Stem,D021DZZ
361,D021HZZ,Stereotactic Particulate Radiosurgery of Brain Stem,D021HZZ
362,D021JZZ,Stereotactic Gamma Beam Radiosurgery of Brain Stem,D021JZZ
363,D026DZZ,Stereotactic Other Photon Radiosurgery of Spinal Cord,D026DZZ
364,D026HZZ,Stereotactic Particulate Radiosurgery of Spinal Cord,D026HZZ
365,D026JZZ,Stereotactic Gamma Beam Radiosurgery of Spinal Cord,D026JZZ
366,D027DZZ,Stereotactic Other Photon Radiosurgery of Peripheral Nerve,D027DZZ
367,D027HZZ,Stereotactic Particulate Radiosurgery of Peripheral Nerve,D027HZZ
368,D027JZZ,Stereotactic Gamma Beam Radiosurgery of Peripheral Nerve,D027JZZ
369,DF20DZZ,Stereotactic Other Photon Radiosurgery of Liver,DF20DZZ
370,DF20HZZ,Stereotactic Particulate Radiosurgery of Liver,DF20HZZ
371,DF20JZZ,Stereotactic Gamma Beam Radiosurgery of Liver,DF20JZZ
372,DF21DZZ,Stereotactic Other Photon Radiosurgery of Gallbladder,DF21DZZ
373,DF21HZZ,Stereotactic Particulate Radiosurgery of Gallbladder,DF21HZZ
374,DF21JZZ,Stereotactic Gamma Beam Radiosurgery of Gallbladder,DF21JZZ
375,DF22DZZ,Stereotactic Other Photon Radiosurgery of Bile Ducts,DF22DZZ
376,DF22HZZ,Stereotactic Particulate Radiosurgery of Bile Ducts,DF22HZZ
377,DF22JZZ,Stereotactic Gamma Beam Radiosurgery of Bile Ducts,DF22JZZ
378,DF23DZZ,Stereotactic Other Photon Radiosurgery of Pancreas,DF23DZZ
379,DF23HZZ,Stereotactic Particulate Radiosurgery of Pancreas,DF23HZZ
380,DF23JZZ,Stereotactic Gamma Beam Radiosurgery of Pancreas,DF23JZZ
381,DG20DZZ,Stereotactic Other Photon Radiosurgery of Pituitary Gland,DG20DZZ
382,DG20HZZ,Stereotactic Particulate Radiosurgery of Pituitary Gland,DG20HZZ
383,DG20JZZ,Stereotactic Gamma Beam Radiosurgery of Pituitary Gland,DG20JZZ
384,DG21DZZ,Stereotactic Other Photon Radiosurgery of Pineal Body,DG21DZZ
385,DG21HZZ,Stereotactic Particulate Radiosurgery of Pineal Body,DG21HZZ
386,DG21JZZ,Stereotactic Gamma Beam Radiosurgery of Pineal Body,DG21JZZ
387,DG22DZZ,Stereotactic Other Photon Radiosurgery of Adrenal Glands,DG22DZZ
388,DG22HZZ,Stereotactic Particulate Radiosurgery of Adrenal Glands,DG22HZZ
389,DG22JZZ,Stereotactic Gamma Beam Radiosurgery of Adrenal Glands,DG22JZZ
390,D720DZZ,Stereotactic Other Photon Radiosurgery of Bone Marrow,D720DZZ
391,D720HZZ,Stereotactic Particulate Radiosurgery of Bone Marrow,D720HZZ
392,D720JZZ,Stereotactic Gamma Beam Radiosurgery of Bone Marrow,D720JZZ
