,concept_code_y,concept_name_y,icd
392,89.55,Phonocardiogram with ECG lead,89.55
417,48.76,Other proctopexy,48.76
470,34.83,Closure of fistula of diaphragm,34.83
905,22.6,Other nasal sinusectomy,22.6
906,22.60,"Sinusectomy, not otherwise specified",22.60
907,22.62,Excision of lesion of maxillary sinus with other approach,22.62
1155,45.33,"Local excision of lesion or tissue of small intestine, except duodenum",45.33
1156,45.6,Other excision of small intestine,45.6
1354,55.32,Open ablation of renal lesion or tissue,55.32
1355,55.33,Percutaneous ablation of renal lesion or tissue,55.33
1356,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
1483,12.87,Scleral reinforcement with graft,12.87
1769,18.3,Other excision of external ear,18.3
1770,18.39,Other excision of external ear,18.39
1817,34.81,Excision of lesion or tissue of diaphragm,34.81
1918,33.23,Other bronchoscopy,33.23
1994,67.11,Endocervical biopsy,67.11
2012,94.26,Subconvulsive electroshock therapy,94.26
2218,35.71,Other and unspecified repair of atrial septal defect,35.71
2245,35.01,"Closed heart valvotomy, aortic valve",35.01
2287,27.61,Suture of laceration of palate,27.61
2321,29.53,Closure of other fistula of pharynx,29.53
2354,45.94,Large-to-large intestinal anastomosis,45.94
2371,46.75,Suture of laceration of large intestine,46.75
2399,48.75,Abdominal proctopexy,48.75
2443,57.6,Partial cystectomy,57.6
2520,69.4,Uterine repair,69.4
2521,69.49,Other repair of uterus,69.49
2522,75.5,Repair of current obstetric laceration of uterus,75.5
2666,73.51,Manual rotation of fetal head,73.51
2681,08.01,Incision of lid margin,08.01
2712,08.92,Cryosurgical epilation of eyelid,08.92
2896,57.93,Control of (postoperative) hemorrhage of bladder,57.93
2944,24.91,Extension or deepening of buccolabial or lingual sulcus,24.91
3255,27.23,Biopsy of lip,27.23
3289,34.24,Other pleural biopsy,34.24
3447,68.4,Total abdominal hysterectomy,68.4
3448,68.49,Other and unspecified total abdominal hysterectomy,68.49
3524,65.22,Wedge resection of ovary,65.22
3636,42.25,Open biopsy of esophagus,42.25
3648,41.33,Open biopsy of spleen,41.33
3833,66.7,Repair of fallopian tube,66.7
3834,66.79,Other repair of fallopian tube,66.79
3931,35.51,"Repair of atrial septal defect with prosthesis, open technique",35.51
3983,88.82,Ocular thermography,88.82
3993,95.16,P32 and other tracer studies of eye,95.16
4061,68.16,Closed biopsy of uterus,68.16
4188,50.6,Repair of liver,50.6
4189,50.69,Other repair of liver,50.69
4278,21.4,Resection of nose,21.4
4480,31.75,Reconstruction of trachea and construction of artificial larynx,31.75
4511,41.93,Excision of accessory spleen,41.93
4523,32.1,Other excision of bronchus,32.1
5007,32.9,Other excision of lung,32.9
5613,27.4,Excision of other parts of mouth,27.4
5614,27.49,Other excision of mouth,27.49
5689,26.49,Other repair and plastic operations on salivary gland or duct,26.49
6493,28.6,Adenoidectomy without tonsillectomy,28.6
7016,66.52,Removal of remaining fallopian tube,66.52
7017,66.6,Other salpingectomy,66.6
7336,03.5,Plastic operations on spinal cord structures,03.5
7337,03.59,Other repair and plastic operations on spinal cord structures,03.59
7714,18.71,Construction of auricle of ear,18.71
7905,89.69,Monitoring of coronary blood flow,89.69
8153,35.62,Repair of ventricular septal defect with tissue graft,35.62
8167,20.23,Incision of middle ear,20.23
8301,08.42,Repair of entropion or ectropion by suture technique,08.42
8374,20.32,Biopsy of middle and inner ear,20.32
8404,51.35,Other gallbladder anastomosis,51.35
8503,52.84,Autotransplantation of cells of Islets of Langerhans,52.84
8504,52.86,"Transplantation of cells of Islets of Langerhans, not otherwise specified",52.86
8519,12.83,"Revision of operative wound of anterior segment, not elsewhere classified",12.83
8928,35.04,"Closed heart valvotomy, tricuspid valve",35.04
8942,57.17,Percutaneous cystostomy,57.17
8951,57.18,Other suprapubic cystostomy,57.18
8952,57.2,Vesicostomy,57.2
8953,57.21,Vesicostomy,57.21
8954,57.22,Revision or closure of vesicostomy,57.22
9027,48.23,Rigid proctosigmoidoscopy,48.23
9309,21.88,Other septoplasty,21.88
9396,13.5,Other extracapsular extraction of lens,13.5
9397,13.59,Other extracapsular extraction of lens,13.59
9427,44.11,Transabdominal gastroscopy,44.11
9464,47.92,Closure of appendiceal fistula,47.92
9479,09.72,Other repair of punctum,09.72
9493,42.42,Total esophagectomy,42.42
9527,36.03,Open chest coronary artery angioplasty,36.03
9549,01.52,Hemispherectomy,01.52
9576,16.65,Secondary graft to exenteration cavity,16.65
9643,96.25,Therapeutic distention of bladder,96.25
9726,08.62,Reconstruction of eyelid with mucous membrane flap or graft,08.62
9907,65.7,Repair of ovary,65.7
9908,65.71,Other simple suture of ovary,65.71
9909,65.72,Other reimplantation of ovary,65.72
9910,65.73,Other salpingo-oophoroplasty,65.73
9911,65.74,Laparoscopic simple suture of ovary,65.74
9912,65.75,Laparoscopic reimplantation of ovary,65.75
9913,65.79,Other repair of ovary,65.79
10112,57.86,Repair of bladder exstrophy,57.86
10125,52.95,Other repair of pancreas,52.95
10145,55.7,Nephropexy,55.7
10212,36.31,Open chest transmyocardial revascularization,36.31
10213,36.32,Other transmyocardial revascularization,36.32
10214,36.33,Endoscopic transmyocardial revascularization,36.33
10215,36.34,Percutaneous transmyocardial revascularization,36.34
10310,87.01,Pneumoencephalogram,87.01
10342,10.32,Destruction of lesion of conjunctiva,10.32
10343,10.33,Other destructive procedures on conjunctiva,10.33
10403,42.22,Esophagoscopy through artificial stoma,42.22
10438,96.07,Insertion of other (naso-)gastric tube,96.07
10439,96.08,Insertion of (naso-)intestinal tube,96.08
10450,44.63,Closure of other gastric fistula,44.63
10499,29.12,Pharyngeal biopsy,29.12
10531,18.0,Incision of external ear,18.0
10532,18.09,Other incision of external ear,18.09
10805,89.11,Tonometry,89.11
10922,89.50,Ambulatory cardiac monitoring,89.50
11493,87.14,Contrast radiogram of orbit,87.14
11568,87.61,Barium swallow,87.61
11695,87.77,Other cystogram,87.77
13592,50.4,Total hepatectomy,50.4
13652,16.4,Enucleation of eyeball,16.4
13653,16.41,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles,16.41
13654,16.42,Enucleation of eyeball with other synchronous implant,16.42
13655,16.49,Other enucleation of eyeball,16.49
13687,16.52,Exenteration of orbit with therapeutic removal of orbital bone,16.52
14082,08.4,Repair of entropion or ectropion,08.4
14083,08.41,Repair of entropion or ectropion by thermocauterization,08.41
14084,08.43,Repair of entropion or ectropion with wedge resection,08.43
14085,08.44,Repair of entropion or ectropion with lid reconstruction,08.44
14086,08.49,Other repair of entropion or ectropion,08.49
14143,08.31,Repair of blepharoptosis by frontalis muscle technique with suture,08.31
14144,08.32,Repair of blepharoptosis by frontalis muscle technique with fascial sling,08.32
14167,08.0,Incision of eyelid,08.0
14168,08.09,Other incision of eyelid,08.09
14954,13.1,Intracapsular extraction of lens,13.1
14955,13.19,Other intracapsular extraction of lens,13.19
15079,14.71,"Removal of vitreous, anterior approach",14.71
15288,20.41,Simple mastoidectomy,20.41
15427,19.6,Revision of tympanoplasty,19.6
15581,21.83,Total nasal reconstruction,21.83
15611,21.85,Augmentation rhinoplasty,21.85
15721,21.5,Submucous resection of nasal septum,21.5
15794,21.04,Control of epistaxis by ligation of ethmoidal arteries,21.04
16590,32.4,Lobectomy of lung,32.4
16591,32.49,Other lobectomy of lung,32.49
16635,32.3,Segmental resection of lung,32.3
16636,32.30,Thoracoscopic segmental resection of lung,32.30
16637,32.39,Other and unspecified segmental resection of lung,32.39
16993,23.0,Forceps extraction of tooth,23.0
16994,23.09,Extraction of other tooth,23.09
