,concept_code_y,concept_name_y,opcs
463,H35.8,Other specified fixation of rectum for prolapse,H358
464,H35.9,Unspecified fixation of rectum for prolapse,H359
465,H35,Fixation of rectum for prolapse,H35
466,H36,Other abdominal operations for prolapse of rectum,H36
480,T16.3,Closure of fistula of diaphragm,T163
511,K41.3,Autograft replacement of three coronary arteries NEC,K413
598,F42.4,Photography of mouth,F424
639,F45.5,Destruction of lesion of salivary gland,F455
676,U20.2,Transoesophageal echocardiography,U202
933,E17.1,Excision of nasal sinus NEC,E171
1349,M02.5,Nephrectomy NEC,M025
1435,M34.3,Cystectomy NEC,M343
1490,C57.3,Graft to sclera,C573
1608,A47.8,Other specified other destruction of spinal cord,A478
1609,A47.9,Unspecified other destruction of spinal cord,A479
1610,A47,Other destruction of spinal cord,A47
1802,D01.8,Other specified excision of external ear,D018
1803,D01.9,Unspecified excision of external ear,D019
1804,D01,Excision of external ear,D01
1903,V27.1,Primary decompression of spinal cord and fusion of joint of spine NEC,V271
1904,V27.2,Primary decompression of spinal cord NEC,V272
1905,V27.3,Revisional decompression of spinal cord NEC,V273
1906,V27.8,Other specified decompression operations on unspecified spine,V278
1907,V27.9,Unspecified decompression operations on unspecified spine,V279
1912,V27,Decompression operations on unspecified spine,V27
2040,F44.2,Partial excision of parotid gland,F442
2240,K13.4,Percutaneous transluminal repair of defect of interatrial septum NEC,K134
2242,K10,Repair of defect of interatrial septum,K10
2254,K32.2,Closed aortic valvotomy,K322
2428,F44.5,Excision of sublingual gland,F445
2489,M35.8,Other specified partial excision of bladder,M358
2490,M35.9,Unspecified partial excision of bladder,M359
2491,M35,Partial excision of bladder,M35
2651,Q09.5,Metroplasty,Q095
2709,C18.4,Correction of ptosis of eyelid using superior rectus muscle technique,C184
2774,D01.1,Total excision of external ear,D011
2857,G23.8,Other specified repair of diaphragmatic hernia,G238
2858,G23.9,Unspecified repair of diaphragmatic hernia,G239
2859,G23,Repair of diaphragmatic hernia,G23
2958,F11.4,Vestibuloplasty of mouth,F114
3439,Q07.8,Other specified abdominal excision of uterus,Q078
3440,Q07.9,Unspecified abdominal excision of uterus,Q079
3441,Q07,Abdominal excision of uterus,Q07
3468,Q07.4,Total abdominal hysterectomy NEC,Q074
3534,Q43.1,Excision of wedge of ovary,Q431
3910,Q30.8,Other specified other repair of fallopian tube,Q308
3911,Q30.9,Unspecified other repair of fallopian tube,Q309
4058,E44.1,Excision of carina,E441
4220,J04.8,Other specified repair of liver,J048
4221,J04.9,Unspecified repair of liver,J049
4223,J04,Repair of liver,J04
4234,K45,Connection of thoracic artery to coronary artery,K45
4298,E01.8,Other specified excision of nose,E018
4299,E01.9,Unspecified excision of nose,E019
4300,E01,Excision of nose,E01
4498,E31.8,Other specified reconstruction of larynx,E318
4499,E31.9,Unspecified reconstruction of larynx,E319
4500,E31,Reconstruction of larynx,E31
4520,J69.3,Excision of accessory spleen,J693
4827,E40.1,Reconstruction of trachea and anastomosis HFQ,E401
4828,E40.3,Reconstruction of trachea NEC,E403
5066,E54.8,Other specified excision of lung,E548
5067,E54.9,Unspecified excision of lung,E549
5069,E54,Excision of lung,E54
5679,F04.8,Other specified other reconstruction of lip,F048
5680,F04.9,Unspecified other reconstruction of lip,F049
5681,F04,Other reconstruction of lip,F04
5742,F40.8,Other specified other repair of other part of mouth,F408
5743,F40.9,Unspecified other repair of other part of mouth,F409
5744,F40,Other repair of other part of mouth,F40
6522,E20.1,Total adenoidectomy,E201
6621,F36.1,Destruction of tonsil,F361
6834,Q01.8,Other specified excision of cervix uteri,Q018
6835,Q01.9,Unspecified excision of cervix uteri,Q019
6836,Q01,Excision of cervix uteri,Q01
6995,R30.1,Repositioning of inverted delivered uterus,R301
7073,Q23.3,Unilateral salpingectomy NEC,Q233
7074,Q23.4,Salpingectomy of remaining solitary fallopian tube NEC,Q234
7075,Q24.2,Salpingectomy NEC,Q242
7112,Q39.8,Other specified diagnostic endoscopic examination of fallopian tube,Q398
7113,Q39.9,Unspecified diagnostic endoscopic examination of fallopian tube,Q399
7114,Q39,Diagnostic endoscopic examination of fallopian tube,Q39
7212,Q30.1,Reconstruction of fallopian tube,Q301
7404,C01.8,Other specified excision of eye,C018
7405,C01.9,Unspecified excision of eye,C019
7407,C01,Excision of eye,C01
7571,C47.8,Other specified closure of cornea,C478
7572,C47.9,Unspecified closure of cornea,C479
7573,C47,Closure of cornea,C47
7728,D03.2,Reconstruction of external ear NEC,D032
8163,K11.3,Repair of defect of interventricular septum using tissue graft NEC,K113
8320,C17.1,Suture of eyelid,C171
8389,D28.1,Biopsy of lesion of ear NEC,D281
8422,J19.8,Other specified connection of gall bladder,J198
8423,J19.9,Unspecified connection of gall bladder,J199
8424,J19,Connection of gall bladder,J19
8513,J54.4,Transplantation of islet of Langerhans,J544
8939,K32.3,Closed tricuspid valvotomy,K323
9024,F55.2,Dilation of submandibular duct,F552
9161,F44.1,Total excision of parotid gland,F441
9335,E03.6,Septoplasty of nose NEC,E036
9369,A10.1,Leucotomy NEC,A101
9389,C34.7,Tenotomy of combinations of muscles of eye,C347
9414,C71.8,Other specified extracapsular extraction of lens,C718
9415,C71.9,Unspecified extracapsular extraction of lens,C719
9416,C71,Extracapsular extraction of lens,C71
9511,G02.8,Other specified total excision of oesophagus,G028
9512,G02.9,Unspecified total excision of oesophagus,G029
9513,G02,Total excision of oesophagus,G02
9536,K48.3,Open angioplasty of coronary artery,K483
9558,A01.1,Hemispherectomy,A011
9669,M43.3,Endoscopic overdistension of bladder NEC,M433
9945,Q45.8,Other specified repair of ovary,Q458
9946,Q45.9,Unspecified repair of ovary,Q459
9947,Q45,Repair of ovary,Q45
10005,U30.1,Tilt table testing,U301
10122,M37.4,Closure of exstrophy,M374
10160,M05.3,Nephropexy,M053
10192,U54.2,Delivery of rehabilitation for respiratory disorders,U542
10277,C66.1,Excision of ciliary body,C661
10361,C39.8,Other specified extirpation of lesion of conjunctiva,C398
10362,C39.9,Unspecified extirpation of lesion of conjunctiva,C399
10363,C39,Extirpation of lesion of conjunctiva,C39
10517,E25.2,Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC,E252
11594,U17.3,Barium swallow,U173
11640,U17.4,Barium enema,U174
11641,Y90.5,Barium enema NEC,Y905
11818,F48.4,Sialography,F484
12620,U12.4,Ultrasound of bladder,U124
12643,C05.1,Reconstruction of cavity of orbit,C051
12758,A01.8,Other specified major excision of tissue of brain,A018
12759,A01.9,Unspecified major excision of tissue of brain,A019
12760,A01,Major excision of tissue of brain,A01
12768,A01.2,Total lobectomy of brain,A012
12778,A02.1,Excision of lesion of tissue of frontal lobe of brain,A021
12788,A02.2,Excision of lesion of tissue of temporal lobe of brain,A022
12798,A02.3,Excision of lesion of tissue of parietal lobe of brain,A023
12808,A02.4,Excision of lesion of tissue of occipital lobe of brain,A024
12818,A02.5,Excision of lesion of tissue of cerebellum,A025
12838,A03.8,Other specified stereotactic ablation of tissue of brain,A038
12839,A03.9,Unspecified stereotactic ablation of tissue of brain,A039
12840,A03,Stereotactic ablation of tissue of brain,A03
12857,A03.1,Stereotactic leucotomy,A031
12868,A03.2,Stereotactic ablation of tissue of thalamus,A032
12878,A03.3,Stereotactic ablation of tissue of globus pallidus,A033
12887,A03.4,Stereotactic ablation of tissue of brain stem,A034
12908,A04.8,Other specified open biopsy of lesion of tissue of brain,A048
12909,A04.9,Unspecified open biopsy of lesion of tissue of brain,A049
12921,A04.1,Open biopsy of lesion of tissue of frontal lobe of brain,A041
12932,A04.2,Open biopsy of lesion of tissue of temporal lobe of brain,A042
12943,A04.3,Open biopsy of lesion of tissue of parietal lobe of brain,A043
12954,A04.4,Open biopsy of lesion of tissue of occipital lobe of brain,A044
12965,A04.5,Open biopsy of lesion of tissue of cerebellum,A045
12976,A04.6,Open biopsy of lesion of tissue of brain stem,A046
13025,A12.8,Other specified creation of connection from ventricle of brain,A128
13026,A12.9,Unspecified creation of connection from ventricle of brain,A129
13027,A12,Creation of connection from ventricle of brain,A12
