,concept_code_y,concept_name_y,icd
198,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
199,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
200,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
201,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
202,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
203,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
204,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
205,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
206,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
207,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
208,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
209,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
210,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
211,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
212,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
213,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
214,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
215,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
216,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
217,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
218,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
219,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
220,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
221,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
222,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
223,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
224,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
225,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
226,DB27JZZ,Stereotactic Gamma Beam Radiosurgery of Chest Wall,DB27JZZ
227,DB28DZZ,Stereotactic Other Photon Radiosurgery of Diaphragm,DB28DZZ
228,DB28HZZ,Stereotactic Particulate Radiosurgery of Diaphragm,DB28HZZ
