,concept_code_y,concept_name_y,opcs
470,E54.8,Other specified excision of lung,E548
471,E54.9,Unspecified excision of lung,E549
473,E54,Excision of lung,E54
619,L12.1,Application of band to pulmonary artery,L121
762,E46.8,Other specified partial extirpation of bronchus,E468
763,E46.9,Unspecified partial extirpation of bronchus,E469
764,E46,Partial extirpation of bronchus,E46
792,E46.4,Open destruction of lesion of bronchus,E464
800,E54.2,Bilobectomy of lung,E542
841,E54.3,Lobectomy of lung,E543
866,E54.4,Excision of segment of lung,E544
886,E55.8,Other specified open extirpation of lesion of lung,E558
887,E55.9,Unspecified open extirpation of lesion of lung,E559
888,E55,Open extirpation of lesion of lung,E55
900,E55.1,Open decortication of lesion of lung,E551
911,E55.2,Open excision of lesion of lung,E552
921,E55.3,Open cauterisation of lesion of lung,E553
933,E57.2,Ligation of bulla of lung,E572
943,E57.3,Deflation of bulla of lung,E573
954,E59.1,Needle biopsy of lesion of lung,E591
966,E59.2,Aspiration biopsy of lesion of lung,E592
1037,L09.8,Other specified other connection to pulmonary artery,L098
1038,L09.9,Unspecified other connection to pulmonary artery,L099
1039,L10.8,Other specified repair of pulmonary artery,L108
1040,L10.9,Unspecified repair of pulmonary artery,L109
1041,L10,Repair of pulmonary artery,L10
1121,L10.1,Repair of pulmonary artery using prosthesis,L101
1131,L12.5,Open embolisation of pulmonary artery,L125
1141,L13.2,Percutaneous transluminal embolisation of pulmonary artery,L132
1160,T07.1,Decortication of pleura,T071
1428,E47.8,Other specified other open operations on bronchus,E478
1429,E47.9,Unspecified other open operations on bronchus,E479
1724,E53.2,Single lung transplant,E532
2377,E54.5,Partial lobectomy of lung NEC,E545
2458,E52.1,Irrigation of bronchus NEC,E521
2605,L12.6,Pulmonary artery ligation,L126
2655,L10.4,Repair of pulmonary arterial sling,L104
2669,E59.5,Percutaneous radiofrequency ablation of lesion of lung,E595
2680,L01.3,Repair of anomalous pulmonary artery origin from ascending aorta,L013
2681,L10.3,Repair of anomalous pulmonary artery NEC,L103
2726,E54.6,Reduction of lung volume,E546
3005,E46.1,Sleeve resection of bronchus and anastomosis HFQ,E461
3040,X45.3,Donation of lobe of lung,X453
3058,E59.3,Biopsy of lesion of lung NEC,E593
3081,E55.4,Open destruction of lesion of lung NEC,E554
3107,E46.2,Excision of cyst of bronchus,E462
3122,E57.4,Incision of lung NEC,E574
3208,E54.1,Total pneumonectomy,E541
3243,E47.1,Open biopsy of lesion of bronchus NEC,E471
3279,U15.2,Lung ventilation scanning NEC,U152
3461,E47.3,Repair of bronchus NEC,E473
3693,E47.2,Closure of fistula of bronchus,E472
3747,L13.3,Arteriography of pulmonary artery,L133
3750,E67.1,Endoscopic thermal bronchoplasty,E671
3801,E46.3,Excision of lesion of bronchus NEC,E463
3860,E53.8,Other specified transplantation of lung,E538
3861,E53.9,Unspecified transplantation of lung,E539
3866,E53,Transplantation of lung,E53
3951,E57.1,Repair of lung,E571
