,concept_code_y,concept_name_y,opcs
15,32.9,Other excision of lung,32.9
304,32.4,Lobectomy of lung,32.4
305,32.49,Other lobectomy of lung,32.49
349,32.3,Segmental resection of lung,32.3
350,32.30,Thoracoscopic segmental resection of lung,32.30
351,32.39,Other and unspecified segmental resection of lung,32.39
478,33.28,Open biopsy of lung,33.28
729,33.51,Unilateral lung transplantation,33.51
987,33.26,Closed [percutaneous] [needle] biopsy of lung,33.26
1014,33.43,Closure of laceration of lung,33.43
1185,32.22,Lung volume reduction surgery,32.22
1272,92.15,Pulmonary scan,92.15
1370,32.23,Open ablation of lung lesion or tissue,32.23
1371,32.24,Percutaneous ablation of lung lesion or tissue,32.24
1372,32.25,Thoracoscopic ablation of lung lesion or tissue,32.25
1373,32.26,Other and unspecified ablation of lung lesion or tissue,32.26
1394,32.21,Plication of emphysematous bleb,32.21
1407,33.1,Incision of lung,33.1
1439,32.5,Pneumonectomy,32.5
1440,32.59,Other and unspecified pneumonectomy,32.59
1795,33.5,Lung transplant,33.5
1796,33.50,"Lung transplantation, not otherwise specified",33.50
1855,33.49,Other repair and plastic operations on lung,33.49
1928,33.93,Puncture of lung,33.93
