,concept_code_y,concept_name_y,opcs
12,T36.2,Excision of lesion of omentum,T362
320,A53.2,Creation of thecoperitoneal shunt,A532
331,A53.4,Creation of lumboperitoneal shunt,A534
354,H01.1,Emergency excision of abnormal appendix and drainage HFQ,H011
355,H01.2,Emergency excision of abnormal appendix NEC,H012
356,H01.8,Other specified emergency excision of appendix,H018
357,H01.9,Unspecified emergency excision of appendix,H019
358,H01,Emergency excision of appendix,H01
367,H01.3,Emergency excision of normal appendix,H013
387,H02.1,Interval appendicectomy,H021
440,T19.3,Ligation of patent processus vaginalis,T193
455,Q52.1,Excision of lesion of broad ligament of uterus,Q521
467,Q52.2,Destruction of lesion of broad ligament of uterus,Q522
510,T29.2,Excision of urachus,T292
532,T33.8,Other specified open extirpation of lesion of peritoneum,T338
533,T33.9,Unspecified open extirpation of lesion of peritoneum,T339
534,T33,Open extirpation of lesion of peritoneum,T33
544,T33.1,Open excision of lesion of peritoneum,T331
558,T33.2,Open destruction of lesion of peritoneum,T332
571,T36.3,Destruction of lesion of omentum,T363
582,T36.4,Biopsy of lesion of omentum,T364
591,T36.5,Creation of omental flap,T365
600,T37.1,Excision of lesion of mesentery of small intestine,T371
610,T37.2,Destruction of lesion of mesentery of small intestine,T372
620,T37.3,Biopsy of lesion of mesentery of small intestine,T373
628,T37.4,Repair of mesentery of small intestine,T374
637,T38.1,Excision of lesion of mesentery of colon,T381
647,T38.2,Destruction of lesion of mesentery of colon,T382
657,T38.3,Biopsy of lesion of mesentery of colon,T383
665,T38.4,Repair of mesentery of colon,T384
676,T39.1,Excision of lesion of posterior peritoneum,T391
687,T39.2,Destruction of lesion of posterior peritoneum,T392
701,T39.3,Biopsy of lesion of posterior peritoneum,T393
712,T42.1,Endoscopic resection of lesion of peritoneum,T421
728,T45.1,Image controlled percutaneous drainage of subphrenic abscess,T451
739,Y69.1,Harvest of omentum,Y691
1034,X40.6,Continuous ambulatory peritoneal dialysis,X406
1121,Q52.3,Shortening of broad ligament of uterus,Q523
1452,P31.1,Culdoplasty,P311
1595,T46.3,Irrigation of peritoneal cavity,T463
1667,Q54.2,Plication of round ligament of uterus,Q542
1718,H03.3,Exteriorisation of appendix,H033
1740,X40.5,Automated peritoneal dialysis,X405
2065,A12.4,Creation of ventriculoperitoneal shunt,A124
2142,H14.4,Appendicocaecostomy,H144
2201,P31.4,Culdotomy NEC,P314
2768,X40.2,Peritoneal dialysis NEC,X402
2983,T36.1,Omentectomy,T361
2995,T41.1,Open biopsy of lesion of peritoneum NEC,T411
3071,H02.2,Planned delayed appendicectomy NEC,H022
3072,H02.3,Prophylactic appendicectomy NEC,H023
3073,H02.8,Other specified other excision of appendix,H028
3074,H02.9,Unspecified other excision of appendix,H029
3075,H02,Other excision of appendix,H02
3137,H02.4,Incidental appendicectomy,H024
3240,T46.1,Paracentesis abdominis for ascites,T461
3265,L81.1,Creation of peritovenous shunt,L811
