,concept_code_y,concept_name_y,icd
40,68.14,Open biopsy of uterine ligaments,68.14
215,47.92,Closure of appendiceal fistula,47.92
429,57.51,Excision of urachus,57.51
662,54.73,Other repair of peritoneum,54.73
1080,54.23,Biopsy of peritoneum,54.23
1387,54.25,Peritoneal lavage,54.25
1465,54.95,Incision of peritoneum,54.95
1498,47.91,Appendicostomy,47.91
1670,88.13,Other peritoneal pneumogram,88.13
1737,54.74,Other repair of omentum,54.74
1810,70.12,Culdotomy,70.12
1827,70.23,Biopsy of cul-de-sac,70.23
1862,47.01,Laparoscopic appendectomy,47.01
1880,54.75,Other repair of mesentery,54.75
2015,70.22,Culdoscopy,70.22
2048,68.15,Closed biopsy of uterine ligaments,68.15
2220,54.98,Peritoneal dialysis,54.98
2367,54.64,Suture of peritoneum,54.64
2426,47.0,Appendectomy,47.0
2427,47.09,Other appendectomy,47.09
2504,47.1,Incidental appendectomy,47.1
2505,47.11,Laparoscopic incidental appendectomy,47.11
2506,47.19,Other incidental appendectomy,47.19
2587,54.91,Percutaneous abdominal drainage,54.91
