,concept_code_y,concept_name_y,opcs
56,C81.1,Xenon photocoagulation of retina for detachment,C811
779,M23.8,Other specified incision of ureter,M238
780,M23.9,Unspecified incision of ureter,M239
781,M23,Incision of ureter,M23
794,T16.3,Closure of fistula of diaphragm,T163
866,K41.3,Autograft replacement of three coronary arteries NEC,K413
1001,F42.4,Photography of mouth,F424
3148,S07.2,Photodynamic laser therapy to lesion of skin,S072
3165,W19.4,Primary open reduction of fracture of short bone and fixation using screw,W194
3170,W24.7,Closed reduction of fracture of bone and fixation using plate,W247
3180,O17.6,Remanipulation of fracture of bone and fixation using plate,O176
3189,V51.1,Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine,V511
3201,D06.5,Flap of skin to external ear,D065
3209,E66.1,Flap of skin to external nose,E661
3217,E09.7,Graft of skin to external nose,E097
3234,F45.5,Destruction of lesion of salivary gland,F455
3429,U20.2,Transoesophageal echocardiography,U202
5191,E17.1,Excision of nasal sinus NEC,E171
5653,M02.5,Nephrectomy NEC,M025
5832,M18.8,Other specified excision of ureter,M188
5833,M18.9,Unspecified excision of ureter,M189
5834,M18,Excision of ureter,M18
5993,M34.3,Cystectomy NEC,M343
6140,M72.2,Urethrectomy NEC,M722
6141,M72.8,Other specified excision of urethra,M728
6142,M72.9,Unspecified excision of urethra,M729
6143,M72,Excision of urethra,M72
6369,N30.6,Manual reduction of prepuce,N306
6683,C57.3,Graft to sclera,C573
7431,A47.8,Other specified other destruction of spinal cord,A478
7432,A47.9,Unspecified other destruction of spinal cord,A479
7433,A47,Other destruction of spinal cord,A47
8194,D01.8,Other specified excision of external ear,D018
8195,D01.9,Unspecified excision of external ear,D019
8196,D01,Excision of external ear,D01
8587,V27.1,Primary decompression of spinal cord and fusion of joint of spine NEC,V271
8588,V27.2,Primary decompression of spinal cord NEC,V272
8589,V27.3,Revisional decompression of spinal cord NEC,V273
8590,V27.8,Other specified decompression operations on unspecified spine,V278
8591,V27.9,Unspecified decompression operations on unspecified spine,V279
8596,V27,Decompression operations on unspecified spine,V27
8755,X19.1,Reduction of Sprengel deformity,X191
9524,K49.8,Other specified transluminal balloon angioplasty of coronary artery,K498
9525,K49.9,Unspecified transluminal balloon angioplasty of coronary artery,K499
9527,K49,Transluminal balloon angioplasty of coronary artery,K49
9644,F44.2,Partial excision of parotid gland,F442
10263,V52.2,Destruction of intervertebral disc NEC,V522
10634,K13.4,Percutaneous transluminal repair of defect of interatrial septum NEC,K134
10636,K10,Repair of defect of interatrial septum,K10
10661,K32.2,Closed aortic valvotomy,K322
10987,F44.5,Excision of sublingual gland,F445
11071,M35.8,Other specified partial excision of bladder,M358
11072,M35.9,Unspecified partial excision of bladder,M359
11073,M35,Partial excision of bladder,M35
11095,P25.2,Repair of urethrovaginal fistula,P252
11321,Q09.5,Metroplasty,Q095
11422,A75.5,Excision of splanchnic sympathetic nerve,A755
11473,C18.4,Correction of ptosis of eyelid using superior rectus muscle technique,C184
11569,D01.1,Total excision of external ear,D011
11652,G23.8,Other specified repair of diaphragmatic hernia,G238
11653,G23.9,Unspecified repair of diaphragmatic hernia,G239
11654,G23,Repair of diaphragmatic hernia,G23
11912,F11.4,Vestibuloplasty of mouth,F114
12412,Q10.3,Dilation of cervix uteri and curettage of uterus NEC,Q103
12413,Q10.8,Other specified curettage of uterus,Q108
12414,Q10.9,Unspecified curettage of uterus,Q109
12415,Q11.8,Other specified other evacuation of contents of uterus,Q118
12416,Q11.9,Unspecified other evacuation of contents of uterus,Q119
12417,Q11,Other evacuation of contents of uterus,Q11
12675,R18.8,Other specified other caesarean delivery,R188
12676,R18.9,Unspecified other caesarean delivery,R189
12677,R18,Other caesarean delivery,R18
13999,N20.4,Vasotomy,N204
14356,T11.1,Diagnostic endoscopic examination of pleura and biopsy of lesion of pleura,T111
14412,Q23.1,Unilateral salpingoophorectomy NEC,Q231
14413,Q23.2,Salpingoophorectomy of remaining solitary fallopian tube and ovary,Q232
14414,Q24.1,Salpingoophorectomy NEC,Q241
14556,Q07.8,Other specified abdominal excision of uterus,Q078
14557,Q07.9,Unspecified abdominal excision of uterus,Q079
14558,Q07,Abdominal excision of uterus,Q07
14605,Q07.4,Total abdominal hysterectomy NEC,Q074
14751,Q43.1,Excision of wedge of ovary,Q431
15074,W31.8,Other specified other autograft of bone,W318
15075,W31.9,Unspecified other autograft of bone,W319
15091,W32.2,Allograft of bone NEC,W322
15392,Q30.8,Other specified other repair of fallopian tube,Q308
15393,Q30.9,Unspecified other repair of fallopian tube,Q309
15604,W17.4,Shortening of bone,W174
15700,W28.1,Application of internal fixation to bone NEC,W281
15701,W28.8,Other specified other internal fixation of bone,W288
15702,W28.9,Unspecified other internal fixation of bone,W289
15703,W65.4,Primary open reduction of fracture dislocation of joint and internal fixation NEC,W654
15704,W68.1,Open reduction of injury to growth plate and internal fixation HFQ,W681
15705,W28,Other internal fixation of bone,W28
15888,N13.4,Biopsy of testis,N134
15959,E44.1,Excision of carina,E441
16024,J04.8,Other specified repair of liver,J048
