,concept_code_y,concept_name_y,icd
560,0VQ50ZZ,"Repair Scrotum, Open Approach",0VQ50ZZ
561,0VQ53ZZ,"Repair Scrotum, Percutaneous Approach",0VQ53ZZ
562,0VQ54ZZ,"Repair Scrotum, Percutaneous Endoscopic Approach",0VQ54ZZ
563,0VQ5XZZ,"Repair Scrotum, External Approach",0VQ5XZZ
743,02H430Z,"Insertion of Pressure Sensor Monitoring Device into Coronary Vein, Percutaneous Approach",02H430Z
744,02H432Z,"Insertion of Monitoring Device into Coronary Vein, Percutaneous Approach",02H432Z
745,02H433Z,"Insertion of Infusion Device into Coronary Vein, Percutaneous Approach",02H433Z
746,02H43DZ,"Insertion of Intraluminal Device into Coronary Vein, Percutaneous Approach",02H43DZ
747,02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",02H43JZ
748,02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",02H43KZ
749,02H43MZ,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Approach",02H43MZ
750,02H43NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Percutaneous Approach",02H43NZ
751,02H43YZ,"Insertion of Other Device into Coronary Vein, Percutaneous Approach",02H43YZ
752,02HA3QZ,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach",02HA3QZ
753,02HA3RS,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RS
754,02HA3RZ,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RZ
755,02HA3YZ,"Insertion of Other Device into Heart, Percutaneous Approach",02HA3YZ
756,02UA37Z,"Supplement Heart with Autologous Tissue Substitute, Percutaneous Approach",02UA37Z
757,02UA38Z,"Supplement Heart with Zooplastic Tissue, Percutaneous Approach",02UA38Z
758,02UA3JZ,"Supplement Heart with Synthetic Substitute, Percutaneous Approach",02UA3JZ
759,02UA3KZ,"Supplement Heart with Nonautologous Tissue Substitute, Percutaneous Approach",02UA3KZ
760,3E070GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Open Approach",3E070GC
761,3E073GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Approach",3E073GC
762,3E074GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Endoscopic Approach",3E074GC
763,3E080GC,"Introduction of Other Therapeutic Substance into Heart, Open Approach",3E080GC
764,3E083GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Approach",3E083GC
765,3E084GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Endoscopic Approach",3E084GC
1308,BF45ZZZ,Ultrasonography of Liver,BF45ZZZ
2572,0N5B0ZZ,"Destruction of Nasal Bone, Open Approach",0N5B0ZZ
2573,0N5B3ZZ,"Destruction of Nasal Bone, Percutaneous Approach",0N5B3ZZ
2574,0N5B4ZZ,"Destruction of Nasal Bone, Percutaneous Endoscopic Approach",0N5B4ZZ
2575,0N5R0ZZ,"Destruction of Maxilla, Open Approach",0N5R0ZZ
2576,0N5R3ZZ,"Destruction of Maxilla, Percutaneous Approach",0N5R3ZZ
2577,0N5R4ZZ,"Destruction of Maxilla, Percutaneous Endoscopic Approach",0N5R4ZZ
2578,0N5T0ZZ,"Destruction of Right Mandible, Open Approach",0N5T0ZZ
2579,0N5T3ZZ,"Destruction of Right Mandible, Percutaneous Approach",0N5T3ZZ
2580,0N5T4ZZ,"Destruction of Right Mandible, Percutaneous Endoscopic Approach",0N5T4ZZ
2581,0N5V0ZZ,"Destruction of Left Mandible, Open Approach",0N5V0ZZ
2582,0N5V3ZZ,"Destruction of Left Mandible, Percutaneous Approach",0N5V3ZZ
2583,0N5V4ZZ,"Destruction of Left Mandible, Percutaneous Endoscopic Approach",0N5V4ZZ
2584,DPY27ZZ,Contact Radiation of Maxilla,DPY27ZZ
2585,DPY37ZZ,Contact Radiation of Mandible,DPY37ZZ
