,concept_code_y,concept_name_y,icd
8,48.76,Other proctopexy,48.76
96,92.24,Teleradiotherapy using photons,92.24
136,92.2,Therapeutic radiology and nuclear medicine,92.2
318,48.75,Abdominal proctopexy,48.75
331,92.26,Teleradiotherapy of other particulate radiation,92.26
332,92.33,Particulate radiosurgery,92.33
548,92.3,Stereotactic radiosurgery,92.3
549,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
550,92.32,Multi-source photon radiosurgery,92.32
552,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
1037,48.23,Rigid proctosigmoidoscopy,48.23
1121,17.36,Laparoscopic sigmoidectomy,17.36
1291,49.91,Incision of anal septum,49.91
2506,92.4,Intra-operative radiation procedures,92.4
2507,92.41,Intra-operative electron radiation therapy,92.41
4732,48.72,Closure of proctostomy,48.72
4804,49.03,Excision of perianal skin tags,49.03
4994,96.23,Dilation of anal sphincter,96.23
5041,48.74,Rectorectostomy,48.74
5114,49.52,Posterior anal sphincterotomy,49.52
5184,48.73,Closure of other rectal fistula,48.73
5279,49.72,Anal cerclage,49.72
5701,48.31,Radical electrocoagulation of rectal lesion or tissue,48.31
5702,48.32,Other electrocoagulation of rectal lesion or tissue,48.32
6029,48.92,Anorectal myectomy,48.92
6081,49.79,Other repair of anal sphincter,49.79
6529,49.46,Excision of hemorrhoids,49.46
6565,49.93,Other incision of anus,49.93
6621,45.8,Total intra-abdominal colectomy,45.8
6622,45.81,Laparoscopic total intra-abdominal colectomy,45.81
6623,45.82,Open total intra-abdominal colectomy,45.82
6624,45.83,Other and unspecified total intra-abdominal colectomy,45.83
6703,48.5,Abdominoperineal resection of rectum,48.5
6704,48.50,"Abdominoperineal resection of the rectum, not otherwise specified",48.50
6705,48.51,Laparoscopic abdominoperineal resection of the rectum,48.51
6706,48.52,Open abdominoperineal resection of the rectum,48.52
6707,48.59,Other abdominoperineal resection of the rectum,48.59
6909,45.74,Open and other resection of transverse colon,45.74
7273,48.36,[Endoscopic] polypectomy of rectum,48.36
7330,48.24,Closed [endoscopic] biopsy of rectum,48.24
7451,48.7,Repair of rectum,48.7
7454,48.79,Other repair of rectum,48.79
7480,96.37,Proctoclysis,96.37
7636,49.44,Destruction of hemorrhoids by cryotherapy,49.44
7701,49.51,Left lateral anal sphincterotomy,49.51
8044,17.32,Laparoscopic cecectomy,17.32
8045,45.72,Open and other cecectomy,45.72
8092,17.34,Laparoscopic resection of transverse colon,17.34
8266,48.34,Destruction of rectal lesion or tissue by cryosurgery,48.34
9286,48.0,Proctotomy,48.0
9350,45.73,Open and other right hemicolectomy,45.73
9699,00.10,Implantation of chemotherapeutic agent,00.10
9700,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
9737,49.23,Biopsy of anus,49.23
9970,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
10027,92.20,Infusion of liquid brachytherapy radioisotope,92.20
10673,49.43,Cauterization of hemorrhoids,49.43
10704,70.52,Repair of rectocele,70.52
10705,70.55,Repair of rectocele with graft or prosthesis,70.55
10801,92.23,Radioisotopic teleradiotherapy,92.23
10802,92.28,Injection or instillation of radioisotopes,92.28
10895,89.34,Digital examination of rectum,89.34
11838,96.26,Manual reduction of rectal prolapse,96.26
11945,45.24,Flexible sigmoidoscopy,45.24
12173,92.31,Single source photon radiosurgery,92.31
12417,49.71,Suture of laceration of anus,49.71
12438,48.71,Suture of laceration of rectum,48.71
12543,49.94,Reduction of anal prolapse,49.94
12584,48.64,Posterior resection of rectum,48.64
12592,48.63,Other anterior resection of rectum,48.63
12625,92.25,Teleradiotherapy using electrons,92.25
12679,49.7,Repair of anus,49.7
12680,49.73,Closure of anal fistula,49.73
12681,49.74,Gracilis muscle transplant for anal incontinence,49.74
12682,49.75,Implantation or revision of artificial anal sphincter,49.75
12768,48.91,Incision of rectal stricture,48.91
12893,17.33,Laparoscopic right hemicolectomy,17.33
12920,49.41,Reduction of hemorrhoids,49.41
12993,92.22,Orthovoltage radiation,92.22
13019,48.25,Open biopsy of rectum,48.25
13086,96.22,Dilation of rectum,96.22
13283,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
13782,49.95,Control of (postoperative) hemorrhage of anus,49.95
14126,46.92,Myotomy of other parts of colon,46.92
14140,45.23,Colonoscopy,45.23
14522,92.21,Superficial radiation,92.21
14676,46.76,Closure of fistula of large intestine,46.76
14701,49.11,Anal fistulotomy,49.11
14770,48.33,Destruction of rectal lesion or tissue by laser,48.33
14827,45.75,Open and other left hemicolectomy,45.75
14864,17.35,Laparoscopic left hemicolectomy,17.35
15203,49.42,Injection of hemorrhoids,49.42
15244,45.76,Open and other sigmoidectomy,45.76
15299,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
15333,46.03,Exteriorization of large intestine,46.03
15360,49.12,Anal fistulectomy,49.12
15458,48.35,Local excision of rectal lesion or tissue,48.35
15459,48.6,Other resection of rectum,48.6
15460,48.69,Other resection of rectum,48.69
15568,99.93,Rectal massage (for levator spasm),99.93
15606,48.62,Anterior resection of rectum with synchronous colostomy,48.62
15623,49.5,Division of anal sphincter,49.5
15624,49.59,Other anal sphincterotomy,49.59
15703,49.47,Evacuation of thrombosed hemorrhoids,49.47
