,concept_code_y,concept_name_y,opcs
54,H35.8,Other specified fixation of rectum for prolapse,H358
55,H35.9,Unspecified fixation of rectum for prolapse,H359
56,H35,Fixation of rectum for prolapse,H35
57,H36,Other abdominal operations for prolapse of rectum,H36
1197,Y89,Brachytherapy,Y89
2598,U17.4,Barium enema,U174
2599,Y90.5,Barium enema NEC,Y905
2676,X65.4,Delivery of a fraction of external beam radiotherapy NEC,X654
2677,Y91.8,Other specified external beam radiotherapy,Y918
2678,Y91.9,Unspecified external beam radiotherapy,Y919
3716,A61.3,Radiotherapy to lesion of peripheral nerve,A613
3727,C24.2,Radiotherapy to lacrimal gland,C242
3739,C45.5,Radiotherapy to lesion of cornea,C455
3751,G82.1,Radiological reduction of intussusception of ileum using barium enema,G821
3773,H06.3,Extended right hemicolectomy and anastomosis NEC,H063
3774,H06.8,Other specified extended excision of right hemicolon,H068
3775,H06.9,Unspecified extended excision of right hemicolon,H069
3780,H06,Extended excision of right hemicolon,H06
3803,H12.8,Other specified extirpation of lesion of colon,H128
3804,H12.9,Unspecified extirpation of lesion of colon,H129
3805,H12,Extirpation of lesion of colon,H12
4245,H13.8,Other specified bypass of colon,H138
4246,H13.9,Unspecified bypass of colon,H139
4247,H13,Bypass of colon,H13
4256,H13.3,Bypass of colon by anastomosis of transverse colon to sigmoid colon,H133
4267,H14.2,Refashioning of caecostomy,H142
4279,H15.6,Reduction of prolapse of colostomy,H156
4292,H17.1,Open reduction of intussusception of colon,H171
4302,H17.5,Open relief of strangulation of colon,H175
4313,H18.1,Open colonoscopy,H181
4323,H19.1,Open biopsy of lesion of colon,H191
4331,H19.3,Enterorrhaphy of colon,H193
4344,H20.1,Fibreoptic endoscopic snare resection of lesion of colon,H201
4356,H20.2,Fibreoptic endoscopic cauterisation of lesion of colon,H202
4368,H20.3,Fibreoptic endoscopic laser destruction of lesion of colon,H203
4378,H21.1,Fibreoptic endoscopic dilation of colon,H211
4390,H21.2,Fibreoptic endoscopic coagulation of blood vessel of colon,H212
4404,H26.1,Endoscopic snare resection of lesion of sigmoid colon using rigid sigmoidoscope,H261
4417,H26.2,Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope,H262
4431,H26.3,Endoscopic laser destruction of lesion of sigmoid colon using rigid sigmoidoscope,H263
4444,H26.4,Endoscopic cryotherapy to lesion of sigmoid colon using rigid sigmoidoscope,H264
4455,H27.1,Endoscopic dilation of sigmoid colon using rigid sigmoidoscope,H271
4468,H30.5,Irrigation of colon,H305
4478,H33.3,Anterior resection of rectum and anastomosis of colon to rectum using staples,H333
4489,H34.1,Open excision of lesion of rectum,H341
4499,H34.2,Open cauterisation of lesion of rectum,H342
4508,H34.3,Open cryotherapy to lesion of rectum,H343
4519,H34.4,Open laser destruction of lesion of rectum,H344
4529,H40.1,Trans-sphincteric excision of mucosa of rectum,H401
4539,H40.3,Trans-sphincteric destruction of lesion of rectum,H403
4566,H42.6,Perineal repair of prolapse of rectum NEC,H426
4567,H42.8,Other specified perineal operations for prolapse of rectum,H428
4568,H42.9,Unspecified perineal operations for prolapse of rectum,H429
4581,H42.2,Perineal plication of levator ani muscles and anal sphincters,H422
4601,H42.3,Insertion of supralevator sling,H423
4611,H44.4,Examination of rectum under anaesthetic,H444
4620,H44.5,Massage of rectum,H445
4692,H16.2,Caecotomy,H162
5358,X65.8,Other specified radiotherapy delivery,X658
5359,X65.9,Unspecified radiotherapy delivery,X659
5368,X65,Radiotherapy delivery,X65
5479,X73.8,Other specified delivery of oral chemotherapy for neoplasm,X738
5480,X73.9,Unspecified delivery of oral chemotherapy for neoplasm,X739
5485,X73,Delivery of oral chemotherapy for neoplasm,X73
