,concept_code_y,concept_name_y,icd
91,0DB60ZX,"Excision of Stomach, Open Approach, Diagnostic",0DB60ZX
92,0DB63ZX,"Excision of Stomach, Percutaneous Approach, Diagnostic",0DB63ZX
93,0DB67ZX,"Excision of Stomach, Via Natural or Artificial Opening, Diagnostic",0DB67ZX
94,0DD63ZX,"Extraction of Stomach, Percutaneous Approach, Diagnostic",0DD63ZX
98,0DB44ZX,"Excision of Esophagogastric Junction, Percutaneous Endoscopic Approach, Diagnostic",0DB44ZX
99,0DB48ZX,"Excision of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DB48ZX
100,0DB64ZX,"Excision of Stomach, Percutaneous Endoscopic Approach, Diagnostic",0DB64ZX
101,0DB68ZX,"Excision of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DB68ZX
102,0DB74ZX,"Excision of Stomach, Pylorus, Percutaneous Endoscopic Approach, Diagnostic",0DB74ZX
103,0DB78ZX,"Excision of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DB78ZX
115,0DD44ZX,"Extraction of Esophagogastric Junction, Percutaneous Endoscopic Approach, Diagnostic",0DD44ZX
116,0DD48ZX,"Extraction of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DD48ZX
117,0DD64ZX,"Extraction of Stomach, Percutaneous Endoscopic Approach, Diagnostic",0DD64ZX
118,0DD68ZX,"Extraction of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DD68ZX
119,0DD74ZX,"Extraction of Stomach, Pylorus, Percutaneous Endoscopic Approach, Diagnostic",0DD74ZX
120,0DD78ZX,"Extraction of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic, Diagnostic",0DD78ZX
485,0DVP0CZ,"Restriction of Rectum with Extraluminal Device, Open Approach",0DVP0CZ
486,0DVP0DZ,"Restriction of Rectum with Intraluminal Device, Open Approach",0DVP0DZ
487,0DVP0ZZ,"Restriction of Rectum, Open Approach",0DVP0ZZ
488,0DVP3CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Approach",0DVP3CZ
489,0DVP3DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Approach",0DVP3DZ
490,0DVP3ZZ,"Restriction of Rectum, Percutaneous Approach",0DVP3ZZ
491,0DVP4CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach",0DVP4CZ
492,0DVP4DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Endoscopic Approach",0DVP4DZ
493,0DVP4ZZ,"Restriction of Rectum, Percutaneous Endoscopic Approach",0DVP4ZZ
494,0DVP7DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening",0DVP7DZ
495,0DVP7ZZ,"Restriction of Rectum, Via Natural or Artificial Opening",0DVP7ZZ
496,0DVP8DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",0DVP8DZ
497,0DVP8ZZ,"Restriction of Rectum, Via Natural or Artificial Opening Endoscopic",0DVP8ZZ
624,02H430Z,"Insertion of Pressure Sensor Monitoring Device into Coronary Vein, Percutaneous Approach",02H430Z
625,02H432Z,"Insertion of Monitoring Device into Coronary Vein, Percutaneous Approach",02H432Z
626,02H433Z,"Insertion of Infusion Device into Coronary Vein, Percutaneous Approach",02H433Z
627,02H43DZ,"Insertion of Intraluminal Device into Coronary Vein, Percutaneous Approach",02H43DZ
628,02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",02H43JZ
629,02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",02H43KZ
630,02H43MZ,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Approach",02H43MZ
631,02H43NZ,"Insertion of Intracardiac Pacemaker into Coronary Vein, Percutaneous Approach",02H43NZ
632,02H43YZ,"Insertion of Other Device into Coronary Vein, Percutaneous Approach",02H43YZ
633,02HA3QZ,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach",02HA3QZ
634,02HA3RS,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RS
635,02HA3RZ,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach",02HA3RZ
636,02HA3YZ,"Insertion of Other Device into Heart, Percutaneous Approach",02HA3YZ
637,02UA37Z,"Supplement Heart with Autologous Tissue Substitute, Percutaneous Approach",02UA37Z
638,02UA38Z,"Supplement Heart with Zooplastic Tissue, Percutaneous Approach",02UA38Z
639,02UA3JZ,"Supplement Heart with Synthetic Substitute, Percutaneous Approach",02UA3JZ
640,02UA3KZ,"Supplement Heart with Nonautologous Tissue Substitute, Percutaneous Approach",02UA3KZ
641,3E070GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Open Approach",3E070GC
642,3E073GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Approach",3E073GC
643,3E074GC,"Introduction of Other Therapeutic Substance into Coronary Artery, Percutaneous Endoscopic Approach",3E074GC
644,3E080GC,"Introduction of Other Therapeutic Substance into Heart, Open Approach",3E080GC
645,3E083GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Approach",3E083GC
646,3E084GC,"Introduction of Other Therapeutic Substance into Heart, Percutaneous Endoscopic Approach",3E084GC
1081,BF45ZZZ,Ultrasonography of Liver,BF45ZZZ
2300,0N5B0ZZ,"Destruction of Nasal Bone, Open Approach",0N5B0ZZ
2301,0N5B3ZZ,"Destruction of Nasal Bone, Percutaneous Approach",0N5B3ZZ
