,concept_code_y,concept_name_y,opcs
17,C81.1,Xenon photocoagulation of retina for detachment,C811
79,C57.3,Graft to sclera,C573
402,C01.8,Other specified excision of eye,C018
403,C01.9,Unspecified excision of eye,C019
405,C01,Excision of eye,C01
452,C47.8,Other specified closure of cornea,C478
453,C47.9,Unspecified closure of cornea,C479
454,C47,Closure of cornea,C47
640,C71.8,Other specified extracapsular extraction of lens,C718
641,C71.9,Unspecified extracapsular extraction of lens,C719
642,C71,Extracapsular extraction of lens,C71
745,C66.1,Excision of ciliary body,C661
772,C39.8,Other specified extirpation of lesion of conjunctiva,C398
773,C39.9,Unspecified extirpation of lesion of conjunctiva,C399
774,C39,Extirpation of lesion of conjunctiva,C39
901,C46.1,Refractive keratoplasty,C461
930,C01.2,Enucleation of eye,C012
940,C39.3,Cryotherapy to lesion of conjunctiva,C393
952,C39.4,Curettage of lesion of conjunctiva,C394
961,C39.5,Radiotherapy to lesion of conjunctiva,C395
969,C40.1,Mucosal graft to conjunctiva,C401
977,C40.2,Amniotic graft to conjunctiva,C402
986,C40.3,Sliding graft to conjunctiva,C403
997,C43.2,Biopsy of lesion of conjunctiva,C432
1008,C43.5,Exploration of conjunctiva,C435
1020,C43.6,Creation of hood of conjunctiva,C436
1034,C45.1,Superficial keratectomy,C451
1051,C45.3,Cauterisation of lesion of cornea,C453
1063,C45.5,Radiotherapy to lesion of cornea,C455
1073,C45.7,Debridement of lesion of cornea,C457
1089,C44.8,Other specified other plastic operations on cornea,C448
1090,C44.9,Unspecified other plastic operations on cornea,C449
1091,C44,Other plastic operations on cornea,C44
1092,C46,Plastic operations on cornea,C46
1100,C49.1,Section of cornea,C491
1111,C49.2,Trephine of cornea,C492
1121,C51.1,Biopsy of lesion of cornea,C511
1130,C51.3,Exploration of cornea,C513
1140,C53.1,Punch resection of sclera,C531
1150,C53.3,Cauterisation of lesion of sclera,C533
1163,C54.1,Overlay scleroplasty,C541
1173,C54.2,Imbrication of sclera,C542
1208,C55.8,Other specified incision of sclera,C558
1209,C55.9,Unspecified incision of sclera,C559
1210,C60.2,Inclusion of iris,C602
1211,C55,Incision of sclera,C55
1221,C57.1,Biopsy of lesion of sclera,C571
1234,C57.4,Suture of sclera,C574
1244,C60.3,Fixation of iris,C603
1260,C61.1,Laser trabeculoplasty,C611
1270,C64.4,Biopsy of lesion of iris,C644
1282,C64.6,Stretching of iris,C646
1311,C66.5,Destruction of ciliary body NEC,C665
1312,C66.8,Other specified extirpation of ciliary body,C668
1313,C66.9,Unspecified extirpation of ciliary body,C669
1314,C66,Extirpation of ciliary body,C66
1323,C66.2,Cauterisation of ciliary body,C662
1332,C69.1,Reformation of anterior chamber of eye,C691
1357,C72.8,Other specified intracapsular extraction of lens,C728
1358,C72.9,Unspecified intracapsular extraction of lens,C729
1359,C72,Intracapsular extraction of lens,C72
1373,C72.1,Forceps extraction of lens,C721
1387,C72.3,Cryoextraction of lens,C723
1398,C73.2,Capsulotomy of anterior lens capsule,C732
1408,C73.3,Capsulotomy of posterior lens capsule,C733
1431,C74.3,Mechanical lensectomy,C743
1444,C75.2,Revision of prosthetic replacement for lens,C752
1454,C77.3,Biopsy of lesion of lens,C773
