,concept_code_y,concept_name_y,icd
448,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
449,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
450,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
451,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
452,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
453,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
454,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
455,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
456,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
457,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
458,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
459,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
460,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
461,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
462,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
463,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
464,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
465,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
466,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
467,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
468,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
469,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
470,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
471,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
472,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
473,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
474,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
475,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
