,snomed,icd9,icd_term
15,73761001,45.23,Colonoscopy
87,44441009,45.24,Flexible sigmoidoscopy
113,50774009,17.33,Laparoscopic right hemicolectomy
116,274324002,48.24,Closed [endoscopic] biopsy of rectum
138,13004001,48.23,Rigid proctosigmoidoscopy
151,1390003,17.36,Laparoscopic sigmoidectomy
226,85849005,46.03,Exteriorization of large intestine
235,10611004,92.24,Teleradiotherapy using photons
244,398243002,70.52,Repair of rectocele
264,26390003,45.82,Open total intra-abdominal colectomy
343,24496007,49.46,Excision of hemorrhoids
382,89642006,48.62,Anterior resection of rectum with synchronous colostomy
466,410006001,89.34,Digital examination of rectum
519,24636002,70.72,Repair of colovaginal fistula
587,42904002,48.71,Suture of laceration of rectum
619,44089008,96.26,Manual reduction of rectal prolapse
647,36488007,49.23,Biopsy of anus
653,34264006,45.21,Transabdominal endoscopy of large intestine
658,51396008,45.92,Anastomosis of small intestine to rectal stump
672,34414001,48.0,Proctotomy
686,59896001,96.22,Dilation of rectum
698,64928005,70.73,Repair of rectovaginal fistula
701,79567008,49.11,Anal fistulotomy
706,174368001,96.23,Dilation of anal sphincter
710,171373006,48.82,Excision of perirectal tissue
718,709423005,49.95,Control of (postoperative) hemorrhage of anus
742,45643008,92.25,Teleradiotherapy using electrons
744,115959002,92.3,"Stereotactic radiosurgery, not otherwise specified"
774,76634004,49.73,Closure of anal fistula
807,86888002,49.12,Anal fistulectomy
812,5304008,92.22,Orthovoltage radiation
850,176003,48.74,Rectorectostomy
870,64522003,14.27,Destruction of chorioretinal lesion by implantation of radiation source
892,30043008,49.51,Left lateral anal sphincterotomy
917,359946000,75.62,Repair of current obstetric laceration of rectum and sphincter ani
924,397202000,49.43,Cauterization of hemorrhoids
934,174332006,49.03,Excision of perianal skin tags
951,8422009,49.42,Injection of hemorrhoids
994,91392002,49.47,Evacuation of thrombosed hemorrhoids
1137,30940008,49.71,Suture of laceration of anus
1157,45220009,48.64,Posterior resection of rectum
1199,19317004,49.52,Posterior anal sphincterotomy
1255,228661008,92.21,Superficial radiation
1271,35129004,42.55,Intrathoracic esophageal anastomosis with interposition of colon
1292,28177007,96.37,Proctoclysis
1364,81092009,48.61,Transsacral rectosigmoidectomy
1387,275014009,48.41,Soave submucosal resection of rectum
1398,22781005,49.72,Anal cerclage
1444,174310002,48.72,Closure of proctostomy
1452,235369008,48.92,Anorectal myectomy
1502,76062007,48.65,Duhamel resection of rectum
1511,47705001,48.91,Incision of rectal stricture
1540,85257004,14.26,Destruction of chorioretinal lesion by radiation therapy
1625,2908005,49.44,Destruction of hemorrhoids by cryotherapy
1660,88908007,99.93,Rectal massage (for levator spasm)
1668,15480000,49.91,Incision of anal septum
