,snomed,icd9,icd_term
19,89305009,54.91,Percutaneous abdominal drainage
88,71192002,54.98,Peritoneal dialysis
95,64772004,54.4,Excision of lesion of the mesentery
112,6025007,47.01,Laparoscopic appendectomy
171,387715005,54.25,Peritoneal lavage
183,29481005,54.23,Biopsy of peritoneum
231,41457005,54.95,Incision of peritoneum
602,78233008,54.64,Suture of peritoneum
757,56168005,70.12,Culdotomy
823,5738003,70.23,Biopsy of cul-de-sac
1139,177923007,57.51,Excision of urachus
1342,42332004,47.91,Appendicostomy
1496,116233004,68.14,Open biopsy of uterine ligaments
1615,13893002,47.92,Closure of appendiceal fistula
