snomed,opcs,opcs_term
49586007,H144,H14.4 Appendicocaecostomy
235314005,H012,H01.2 Emergency excision of abnormal appendix NEC
8613002,H033,H03.3 Exteriorisation of appendix
32578005,Y205,Y20.5 Percutaneous biopsy NOC
32578005,Y203,Y20.3 Biopsy of lesion of organ NOC
8613002,H018,H01.8 Other specified emergency excision of appendix
710197007,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
32578005,H031,H03.1 Drainage of abscess of appendix
8613002,H022,H02.2 Planned delayed appendicectomy NEC
6025007,H029,H02.9 Unspecified other excision of appendix
51113007,H032,H03.2 Drainage of appendix NEC
51113007,Y181,Y18.1 Freeing of adhesions of organ NOC
708876004,H024,H02.4 Incidental appendicectomy
118837004,H021,H02.1 Interval appendicectomy
174041007,H018,H01.8 Other specified emergency excision of appendix
174036004,H012,H01.2 Emergency excision of abnormal appendix NEC
710197007,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
32578005,Y208,Y20.8 Other specified biopsy of organ NOC
118837004,H018,H01.8 Other specified emergency excision of appendix
235314005,H013,H01.3 Emergency excision of normal appendix
42332004,H033,H03.3 Exteriorisation of appendix
1299000,H024,H02.4 Incidental appendicectomy
51113007,H038,H03.8 Other specified other operations on appendix
1299000,H023,H02.3 Prophylactic appendicectomy NEC
708876004,H022,H02.2 Planned delayed appendicectomy NEC
32578005,Y209,Y20.9 Unspecified biopsy of organ NOC
443935000,H012,H01.2 Emergency excision of abnormal appendix NEC
174052001,H031,H03.1 Drainage of abscess of appendix
443037006,H031,H03.1 Drainage of abscess of appendix
235314005,H028,H02.8 Other specified other excision of appendix
32578005,Y207,Y20.7 Vacuum biopsy of lesion of organ NOC
708876004,H018,H01.8 Other specified emergency excision of appendix
710197007,Z281,Z28.1 Appendix
17041004,H031,H03.1 Drainage of abscess of appendix
118837004,H039,H03.9 Unspecified other operations on appendix
32578005,H039,H03.9 Unspecified other operations on appendix
6025007,H021,H02.1 Interval appendicectomy
6025007,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
235314005,H019,H01.9 Unspecified emergency excision of appendix
1299000,Y051,Y05.1 Total excision of organ NOC
710197007,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
6025007,Y755,Y75.5 Laparoscopic ultrasonic approach to abdominal cavity
710197007,Y973,Y97.3 Radiology with post contrast
32578005,H038,H03.8 Other specified other operations on appendix
174041007,H013,H01.3 Emergency excision of normal appendix
307582003,H032,H03.2 Drainage of appendix NEC
32578005,H032,H03.2 Drainage of appendix NEC
1299000,H028,H02.8 Other specified other excision of appendix
708876004,H021,H02.1 Interval appendicectomy
448481005,H038,H03.8 Other specified other operations on appendix
51113007,H033,H03.3 Exteriorisation of appendix
118837004,H019,H01.9 Unspecified emergency excision of appendix
80146002,H022,H02.2 Planned delayed appendicectomy NEC
32578005,Y201,Y20.1 Stereotactic biopsy of lesion of organ NOC
174041007,Y751,Y75.1 Laparoscopically assisted approach to abdominal cavity
6025007,H028,H02.8 Other specified other excision of appendix
307581005,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
710197007,U216,U21.6 Ultrasound scan NEC
32578005,H033,H03.3 Exteriorisation of appendix
6025007,H018,H01.8 Other specified emergency excision of appendix
6025007,Y751,Y75.1 Laparoscopically assisted approach to abdominal cavity
118837004,H031,H03.1 Drainage of abscess of appendix
708876004,H028,H02.8 Other specified other excision of appendix
80146002,H018,H01.8 Other specified emergency excision of appendix
8613002,H032,H03.2 Drainage of appendix NEC
174041007,H019,H01.9 Unspecified emergency excision of appendix
51113007,Y189,Y18.9 Unspecified release of organ NOC
17041004,Y309,Y30.9 Unspecified incision of organ NOC
51113007,H031,H03.1 Drainage of abscess of appendix
17041004,H032,H03.2 Drainage of appendix NEC
13893002,Y073,Y07.3 Obliteration of sinus track from organ NOC
80146002,H029,H02.9 Unspecified other excision of appendix
6726004,H031,H03.1 Drainage of abscess of appendix
1299000,Y053,Y05.3 Excision of sinus track from organ NOC
235313004,H023,H02.3 Prophylactic appendicectomy NEC
708876004,H012,H01.2 Emergency excision of abnormal appendix NEC
8613002,H021,H02.1 Interval appendicectomy
37402004,H031,H03.1 Drainage of abscess of appendix
