snomed,opcs,opcs_term
172286002,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
13004001,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
81092009,H337,H33.7 Perineal resection of rectum HFQ
395096001,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
73761001,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
789778002,H218,H21.8 Other specified other therapeutic endoscopic operations on colon
228689006,X656,X65.6 Delivery of a fraction of intraluminal brachytherapy
446362009,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
446747005,H266,H26.6 Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
169309008,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
169318005,X692,X69.2 Delivery of a fraction of total skin radiotherapy
115960007,X692,X69.2 Delivery of a fraction of total skin radiotherapy
47479005,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
450481004,G036,G03.6 Partial oesophagectomy and interposition of colon NEC
228676000,Y918,Y91.8 Other specified external beam radiotherapy
52667004,H108,H10.8 Other specified excision of sigmoid colon
307658004,H152,H15.2 End colostomy
172286002,X659,X65.9 Unspecified radiotherapy delivery
418294002,U215,U21.5 Contrast fluoroscopy NEC
396226005,H251,H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope
169353003,Z534,Z53.4 Peritoneal cavity
44378008,H091,H09.1 Left hemicolectomy and end to end anastomosis of colon to rectum
445232009,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
265402006,H206,H20.6 Fibreoptic endoscopic resection of lesion of colon NEC
429774000,X657,X65.7 Delivery of radionuclide therapy NEC
428412000,X652,X65.2 Delivery of a fraction of intracavitary radiotherapy
428923005,X656,X65.6 Delivery of a fraction of intraluminal brachytherapy
230911008,Y134,Y13.4 Radiofrequency controlled thermal destruction of lesion of organ NOC
394918006,X652,X65.2 Delivery of a fraction of intracavitary radiotherapy
16560241000119104,X657,X65.7 Delivery of radionuclide therapy NEC
720379009,Z376,Z37.6 Hepatic artery
