conceptId,idAndFsnTerm
50080231000188105,50080231000188105 | Radiotherapy to face (procedure) |
50080191000188103,50080191000188103 | External beam radiation therapy of bone (procedure) |
50080181000188101,50080181000188101 | Brachytherapy of bone (procedure) |
16554931000119102,16554931000119102 | Intravenous radionuclide therapy using radium 223 dichloride (procedure) |
16554781000119103,16554781000119103 | Intravenous radionuclide therapy using strontium 89 (procedure) |
16442821000119108,16442821000119108 | Fluoroscopy of colon with water soluble contrast (procedure) |
1103661000000108,1103661000000108 | Radioligand therapy using lutetium (177-Lu) labeled somatostatin analog (procedure) |
721081000124101,721081000124101 | External beam radiotherapy with abdominal compression (procedure) |
721071000124104,721071000124104 | External beam radiotherapy with free breathing (procedure) |
721061000124106,721061000124106 | External beam radiotherapy with respiratory gating (procedure) |
721051000124109,721051000124109 | External beam radiotherapy with breath hold (procedure) |
721031000124102,721031000124102 | External beam radiotherapy without respiratory motion management (procedure) |
589631000119102,589631000119102 | Intravenous radioimmunotherapy using monoclonal antibodies (procedure) |
427561000119104,427561000119104 | Intravenous radionuclide therapy using samarium Sm 153 lexidronam (procedure) |
427541000119103,427541000119103 | Intravenous radionuclide therapy (procedure) |
384091000119108,384091000119108 | Fluoroscopic barium enema via colostomy (procedure) |
48031000087101,48031000087101 | Colonoscopy using rectal retroflexion technique (procedure) |
48021000087103,48021000087103 | Colonoscopy using cecal retroflexion technique (procedure) |
11331000224100,11331000224100 | Tomotherapy (procedure) |
10371000132109,10371000132109 | Colonoscopic snare polypectomy of colon (procedure) |
10361000132103,10361000132103 | Endoscopic cauterization of polyp of colon (procedure) |
1297350006,1297350006 | Surface guided radiation therapy (procedure) |
1297069006,1297069006 | Fractionated dose radiotherapy (procedure) |
1290228009,1290228009 | Administration of antineoplastic agent via subcutaneous route (procedure) |
1290226008,1290226008 | Administration of antineoplastic agent via intravenous route (procedure) |
1287742003,1287742003 | Radiotherapy (procedure) |
1287682002,1287682002 | Intraoperative external beam radiation therapy using electrons for malignant neoplasm of cecum and/or colon and/or rectum (procedure) |
1286802009,1286802009 | External beam radiotherapy using internal target volume approach (procedure) |
1286801002,1286801002 | Real time tumor tracking external beam radiotherapy (procedure) |
1269317006,1269317006 | Radiotherapy to urinary bladder (procedure) |
1264389002,1264389002 | Radiation therapy to oral cavity (procedure) |
1264200003,1264200003 | Excision of lesion of rectum by transanal minimal invasive surgery (procedure) |
1263784000,1263784000 | Radioligand therapy using lutetium (177-Lu) vipivotide tetraxetan (procedure) |
1263398006,1263398006 | Proctoscopic control of rectal bleeding using electrocoagulation (procedure) |
1263397001,1263397001 | Colonoscopic control of rectal bleeding using electrocoagulation (procedure) |
1263392007,1263392007 | Extracorporeal irradiation of tumor bearing bone and reimplantation (procedure) |
1260482004,1260482004 | Insertion of stent into colon using colonoscope (procedure) |
1259200004,1259200004 | Neoadjuvant antineoplastic chemotherapy (procedure) |
1255904006,1255904006 | Administration of palliative antineoplastic agent (procedure) |
1255834000,1255834000 | Administration of antineoplastic chemotherapy into peritoneal cavity (procedure) |
1255831008,1255831008 | Chemotherapy for malignant neoplastic disease using targeted agent (procedure) |
1255359001,1255359001 | Fractionated dose stereotactic radiation therapy (procedure) |
1254742000,1254742000 | Delayed intensification antineoplastic therapy regimen (regime/therapy) |
1254741007,1254741007 | Intensification antineoplastic therapy regimen (regime/therapy) |
1204242009,1204242009 | External beam radiation therapy using particle scanning technique (procedure) |
1172516002,1172516002 | High-dose chemotherapy with stem cell transplant (procedure) |
1163157007,1163157007 | Ultra high dose rate radiotherapy (procedure) |
1162782007,1162782007 | Three dimensional external beam radiation therapy (procedure) |
1156530009,1156530009 | Volumetric modulated arc therapy (procedure) |
1156529004,1156529004 | External beam radiation therapy using particle passive scattering technique (procedure) |
1156528007,1156528007 | External beam radiation therapy using particle spot scanning technique (procedure) |
1156526006,1156526006 | Two dimensional external beam radiation therapy (procedure) |
1156525005,1156525005 | Mixed beam external beam radiation therapy (procedure) |
1156524009,1156524009 | Intensity modulated external beam neutron radiation therapy (procedure) |
1156506007,1156506007 | External beam radiation therapy using photons (procedure) |
1156505006,1156505006 | External beam radiation therapy using carbon ions (procedure) |
1153549003,1153549003 | Irrigation of colon via colostomy (procedure) |
1148692008,1148692008 | Radiation therapy following chemotherapy (procedure) |
1141994004,"1141994004 | Rituximab, cyclophosphamide, etoposide, vincristine, prednisone antineoplastic chemotherapy regimen (regime/therapy) |"
897713009,897713009 | Antineoplastic chemoimmunotherapy (regime/therapy) |
890093004,890093004 | Administration of multiple antineoplastic agents (procedure) |
879915007,879915007 | Radiotherapy to bone (procedure) |
870385001,870385001 | Hypofractionated radiation therapy (procedure) |
870250004,"870250004 | Fluorouracil, leucovorin, irinotecan and oxaliplatin antineoplastic chemotherapy regimen (regime/therapy) |"
870249004,"870249004 | Folinic acid, fluorouracil and irinotecan antineoplastic chemotherapy regimen (regime/therapy) |"
830156009,830156009 | Administration of hyperthermic antineoplastic agent into thoracic cavity (procedure) |
830155008,830155008 | Administration of hyperthermic antineoplastic agent into peritoneal cavity (procedure) |
816151001,816151001 | Administration of consolidation antineoplastic agent (procedure) |
785707001,785707001 | Hypofractionated radiation therapy of entire breast (procedure) |
785706005,785706005 | Hypofractionated radiation therapy of prostate (procedure) |
782204001,782204001 | Superficial radiation therapy (procedure) |
773128008,773128008 | Endoscopic snare resection of lesion of colon using full thickness resection device (procedure) |
771568007,771568007 | Fiberoptic endoscopic excision of lesion of colonic mucous membrane (procedure) |
771556003,771556003 | Fluoroscopy for colonic transit study (procedure) |
738552004,738552004 | Partial resection of colon with stoma (procedure) |
738551006,738551006 | Right colectomy with stoma (procedure) |
726549007,726549007 | Radioimmunoguided surgery (procedure) |
722491009,"722491009 | Rituximab, cyclophosphamide, doxorubicin, vincristine and prednisone chemotherapy regimen (regime/therapy) |"
722482005,"722482005 | Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen (regime/therapy) |"
722472009,"722472009 | Rituximab, ifosfamide, carboplatin and etoposide chemotherapy regimen (regime/therapy) |"
720379009,720379009 | Hepatic arterial infusion chemotherapy (procedure) |
716872004,716872004 | Antineoplastic chemotherapy regimen (regime/therapy) |
715914001,715914001 | Insertion of catheter into cecostomy using fluoroscopic guidance (procedure) |
714029009,714029009 | Preoperative high dose brachytherapy (procedure) |
712746000,712746000 | Total body electron beam therapy (procedure) |
711421003,711421003 | Fluoroscopic contrast enema (procedure) |
711299007,711299007 | Radiotherapy to thorax (procedure) |
710203005,710203005 | Therapeutic contrast enema for reduction of intussusception of colon using fluoroscopic guidance (procedure) |
709523008,709523008 | Magnetic resonance imaging of rectum with contrast (procedure) |
703423002,703423002 | Combined chemotherapy and radiation therapy (procedure) |
700496000,700496000 | Postoperative administration of antineoplastic agent into peritoneal cavity (procedure) |
609197007,609197007 | Endoscopic surgical procedure on colon using laser (procedure) |
609196003,609196003 | Endoscopic surgical procedure on rectum using laser (procedure) |
473237008,473237008 | Stereotactic radiosurgery for acoustic neuroma (procedure) |
450827009,450827009 | Induction chemotherapy (procedure) |
450461000,450461000 | Subtotal excision of colon and creation of colonic pouch (procedure) |
450353006,450353006 | Reduction of prolapse of rectum (procedure) |
449290006,449290006 | Megavoltage radiation therapy using photons and electrons (procedure) |
449265009,449265009 | Magnetic resonance imaging of colon with contrast (procedure) |
449194009,449194009 | Sigmoidoscopic excision of polyp of rectum (procedure) |
449106004,449106004 | Colonoscopic excision of polyp of rectum (procedure) |
448829002,448829002 | Suturing of laceration of rectum (procedure) |
448811007,448811007 | Colonoscopic excision of mucosa of rectum (procedure) |
448596007,448596007 | Excision of rectal stump (procedure) |
448592009,448592009 | Sigmoidoscopic excision of mucosa of rectum (procedure) |
448461009,448461009 | Stereotactic radiation therapy using megavoltage radiation (procedure) |
448385000,448385000 | Megavoltage radiation therapy using photons (procedure) |
448360009,448360009 | Sigmoidoscopic argon plasma coagulation of lesion of rectum (procedure) |
448294009,448294009 | External radiation therapy using superficial radiation (procedure) |
448167001,448167001 | Intraluminal brachytherapy of rectum (procedure) |
448156002,448156002 | Excision of rectum by transanal approach (procedure) |
447979003,447979003 | Argon plasma coagulation of lesion of rectum (procedure) |
447977001,447977001 | Colonoscopic argon plasma coagulation of lesion of rectum (procedure) |
447912004,447912004 | Fractionated dose stereotactic radiosurgery using linear accelerator system (procedure) |
447704003,447704003 | Single dose stereotactic radiosurgery using linear accelerator system (procedure) |
447021001,447021001 | Colonoscopy and tattooing (procedure) |
446504008,446504008 | Stereotactic destruction of lesion using gamma radiation (procedure) |
446414002,446414002 | Sigmoidoscopy and tattooing (procedure) |
446362009,446362009 | Argon plasma coagulation of colon (procedure) |
445954002,445954002 | Computed tomography of colon using intravenous contrast (procedure) |
445935002,445935002 | Argon plasma coagulation of lesion of sigmoid colon (procedure) |
445884009,445884009 | Wedge resection of colon (procedure) |
445863004,445863004 | Loopogram of colon (procedure) |
445232009,445232009 | Boost radiation therapy (procedure) |
444783004,444783004 | Screening colonoscopy (procedure) |
444688002,444688002 | Suspension and fixation of rectum to wall of vagina for prolapse of rectum (procedure) |
443908009,443908009 | Excision of part of rectum by perineal approach (procedure) |
443665007,443665007 | Transanal disk excision of rectum (procedure) |
443605009,443605009 | Mobilization of splenic flexure of colon (procedure) |
441799006,441799006 | Intensity modulated radiation therapy (procedure) |
441783000,441783000 | Three-dimensional conformal radiation therapy (procedure) |
440222004,440222004 | Destruction of malignant neoplasm of rectum using cryosurgery (procedure) |
439927007,439927007 | Measurement of rectal sensation and rectal tone and rectal compliance (procedure) |
438629002,438629002 | High dose rate electronic brachytherapy (procedure) |
438216009,438216009 | Balloon expulsion test (procedure) |
433224001,433224001 | Radionuclide rhenium 186 hydroxyethylidene diphosphonate therapy (procedure) |
431944009,431944009 | Computed tomography with contrast enema (procedure) |
431476005,431476005 | Fluoroscopic colostomy enema with water soluble contrast (procedure) |
431470004,431470004 | Cecostomy using fluoroscopic guidance (procedure) |
