conceptId,idAndFsnTerm
16523851000119103,16523851000119103 | Needle puncture and aspiration of abscess of rectum using computed tomography guidance (procedure) |
16442821000119108,16442821000119108 | Fluoroscopy of colon with water soluble contrast (procedure) |
414301000119107,414301000119107 | Defecography with barium enema (procedure) |
384091000119108,384091000119108 | Fluoroscopic barium enema via colostomy (procedure) |
10371000132109,10371000132109 | Colonoscopic snare polypectomy of colon (procedure) |
10361000132103,10361000132103 | Endoscopic cauterization of polyp of colon (procedure) |
1268402000,1268402000 | Choledochoduodenostomy and insertion of biliary stent using endoscopic ultrasonography guidance (procedure) |
1264439009,1264439009 | Anastomosis of gallbladder to duodenum and insertion of stent using endoscopic ultrasonography guidance (procedure) |
1264335004,1264335004 | Gastrojejunostomy and insertion of stent using endoscopic ultrasonography guidance (procedure) |
1264200003,1264200003 | Excision of lesion of rectum by transanal minimal invasive surgery (procedure) |
1263735008,1263735008 | Endoscopic microsurgical excision of rectum by transanal approach (procedure) |
1263734007,1263734007 | Endoscopic control of hemorrhage of duodenum using argon plasma coagulation (procedure) |
1263719001,1263719001 | Fiberoptic endoscopic cryoablation of lesion of colon (procedure) |
1263488001,1263488001 | Colonoscopic decompression of large intestine (procedure) |
1263486002,1263486002 | Esophagogastroduodenoscopic electrohydraulic lithotripsy of bezoar in stomach (procedure) |
1263398006,1263398006 | Proctoscopic control of rectal bleeding using electrocoagulation (procedure) |
1263397001,1263397001 | Colonoscopic control of rectal bleeding using electrocoagulation (procedure) |
1260482004,1260482004 | Insertion of stent into colon using colonoscope (procedure) |
1260408002,1260408002 | Segmental excision of duodenum (procedure) |
1260293004,1260293004 | Pancreaticoduodenectomy using robotic assistance (procedure) |
1258886005,1258886005 | Reduction of intussusception of intestine using enema (procedure) |
1258871004,1258871004 | Transanal total mesorectal excision (procedure) |
1256034006,1256034006 | Esophagogastroduodenoscopy and closure of fistula of duodenum (procedure) |
1255940008,1255940008 | Anastomosis of hepatic duct to jejunum using robotic assistance (procedure) |
1255832001,1255832001 | Laparoscopic anorectoplasty (procedure) |
1255200007,1255200007 | Esophagogastroduodenoscopy with radiofrequency ablation of esophagus (procedure) |
1255198001,1255198001 | Esophagogastroduodenoscopy with control of hemorrhage of esophagus by thermocoagulation (procedure) |
1255197006,1255197006 | Esophagogastroduodenoscopy with clipping for control of hemorrhage of esophagus (procedure) |
1255196002,1255196002 | Esophagogastroduodenoscopy with control of hemorrhage of esophagus (procedure) |
1251572005,1251572005 | Esophagogastroduodenoscopy with control of esophageal hemorrhage by injection (procedure) |
1231763005,1231763005 | Magnetic resonance imaging of small intestine with contrast (procedure) |
1222647002,1222647002 | Biopsy of sphincter of Oddi using endoscopic retrograde cholangiopancreatography guidance with contrast (procedure) |
1220640005,1220640005 | Biopsy of lesion of ampulla of Vater using endoscopic retrograde cholangiopancreatography guidance with contrast (procedure) |
1220581005,1220581005 | Biopsy of rectum using endoscopic ultrasonography guidance (procedure) |
1220549001,1220549001 | Laparoscopic excision of ileum (procedure) |
1220548009,1220548009 | Open excision of ileum (procedure) |
1220546008,1220546008 | Laparoscopic excision of jejunum (procedure) |
1220544006,1220544006 | Open excision of jejunum (procedure) |
1217313001,1217313001 | Biopsy of colon using endoscopic ultrasonography guidance (procedure) |
1217118003,1217118003 | Endoscopic examination of lower bowel and biopsy of lesion of lower bowel (procedure) |
1217117008,1217117008 | Endoscopic examination of lower bowel and sampling for bacterial overgrowth (procedure) |
1217116004,1217116004 | Endoscopic examination of ileoanal pouch (procedure) |
1217115000,1217115000 | Endoscopic examination of sigmoid colon and biopsy of lesion of sigmoid colon using rigid sigmoidoscope (procedure) |
1217114001,1217114001 | Endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch (procedure) |
1216996008,1216996008 | Endoscopic examination of colonic pouch and biopsy of colonic pouch (procedure) |
1216987008,1216987008 | Choledochoduodenostomy using endoscopic ultrasonography guidance (procedure) |
1209121000,1209121000 | Proctoscopy and biopsy of lesion of rectum (procedure) |
1209098000,1209098000 | Fiberoptic colonoscopy with biopsy of lesion of colon (procedure) |
1208951004,1208951004 | Duodenoscopy and biopsy of lesion of duodenum (procedure) |
1204476003,1204476003 | Endoscopy of large intestine using video capsule endoscopy system (procedure) |
1186912002,1186912002 | Laparoscopic low anterior resection of rectum with construction of colostomy (procedure) |
1153549003,1153549003 | Irrigation of colon via colostomy (procedure) |
870623000,870623000 | Closure of rectovaginal fistula using plug (procedure) |
870424001,870424001 | Esophagogastroduodenoscopy gastric outlet reduction (procedure) |
866199004,866199004 | Ultrasonography of intestine with contrast (procedure) |
858579005,"858579005 | Excision of entire colon, entire rectum and entire anal canal (procedure) |"
838446004,838446004 | Endoscopic balloon dilation of duodenal papilla (procedure) |
827087002,827087002 | Esophagogastroduodenoscopy and fecal microbiota transplant (procedure) |
789779005,789779005 | Sigmoidoscopy and fecal microbiota transplantation (procedure) |
789778002,789778002 | Colonoscopy and fecal microbiota transplantation (procedure) |
789398005,789398005 | Decompression of small intestine via colonoscope (procedure) |
787938008,787938008 | Partial resection of small bowel using robotic assistance (procedure) |
787876003,787876003 | Laparoscopic total colectomy and ileostomy (procedure) |
787875004,787875004 | Laparoscopic total colectomy and loop ileostomy (procedure) |
787874000,787874000 | Laparoscopic total colectomy (procedure) |
787109009,787109009 | Excision of entire colon and entire rectum (procedure) |
787108001,787108001 | Laparoscopic restorative proctocolectomy with ileal pouch anal anastomosis (procedure) |
782838000,782838000 | Laparoscopic ventral fixation of internal prolapse of rectum using synthetic mesh (procedure) |
782837005,782837005 | Laparoscopic ventral fixation of internal prolapse of rectum using biological mesh (procedure) |
782836001,782836001 | Laparoscopic ventral fixation of internal prolapse of rectum using mesh (procedure) |
773136004,773136004 | Endoscopic mucosal resection of lesion of sigmoid colon using rigid sigmoidoscope (procedure) |
773129000,773129000 | Combined endoscopic and laparoscopic excision of polyp of colon (procedure) |
773128008,773128008 | Endoscopic snare resection of lesion of colon using full thickness resection device (procedure) |
771580004,771580004 | Excision of lesion of mucous membrane of lower bowel using fiberoptic sigmoidoscope (procedure) |
771568007,771568007 | Fiberoptic endoscopic excision of lesion of colonic mucous membrane (procedure) |
771556003,771556003 | Fluoroscopy for colonic transit study (procedure) |
770699008,770699008 | Insertion of stent into duodenum using fluoroscopic guidance (procedure) |
764577000,764577000 | Magnetic resonance imaging of intestine (procedure) |
738552004,738552004 | Partial resection of colon with stoma (procedure) |
738551006,738551006 | Right colectomy with stoma (procedure) |
736842003,736842003 | Closure of enterovesicovaginal fistula (procedure) |
726096009,726096009 | Imaging of small intestine (procedure) |
719919003,719919003 | Balloon dilatation of colon using fluoroscopic guidance (procedure) |
719901007,719901007 | Balloon dilatation of stomach and duodenum using fluoroscopic guidance (procedure) |
716694009,716694009 | Magnetic resonance enteroclysis (procedure) |
716237008,716237008 | Methylcellulose double-contrast barium enteroclysis (procedure) |
716236004,716236004 | Air double-contrast barium enteroclysis (procedure) |
716235000,716235000 | Single-contrast barium enteroclysis (procedure) |
715970002,715970002 | Computed tomography of small intestine with contrast (procedure) |
715914001,715914001 | Insertion of catheter into cecostomy using fluoroscopic guidance (procedure) |
715313002,715313002 | Insertion of stent into bowel using fluoroscopic guidance (procedure) |
715275000,715275000 | Insertion of bioabsorbable stent into bowel using fluoroscopic guidance (procedure) |
713165008,713165008 | Laparoscopic total colectomy with ileo-rectal anastomosis (procedure) |
713047006,713047006 | Endoscopic insertion of duodenal stent using fluoroscopic guidance (procedure) |
713046002,713046002 | Open reduction of intussusception of intestine (procedure) |
712992007,712992007 | Laparoscopic low anterior resection of rectum using robotic assistance (procedure) |
712815006,712815006 | Endoscopic closure of fistula of small intestine (procedure) |
711421003,711421003 | Fluoroscopic contrast enema (procedure) |
711356000,711356000 | Fluoroscopic hypotonic duodenography (procedure) |
711307001,711307001 | Colonoscopy using X-ray guidance (procedure) |
711233006,711233006 | Reduction of intussusception of intestine using air enema (procedure) |
711169008,711169008 | Closure of appendicovesicostomy (procedure) |
710579009,710579009 | Intubation of small bowel using fluoroscopic guidance (procedure) |
710293001,710293001 | Colonoscopy using fluoroscopic guidance (procedure) |
710288004,710288004 | Sigmoidoscopy using fluoroscopic guidance (procedure) |
710203005,710203005 | Therapeutic contrast enema for reduction of intussusception of colon using fluoroscopic guidance (procedure) |
710197007,710197007 | Ultrasonography of appendix (procedure) |
709523008,709523008 | Magnetic resonance imaging of rectum with contrast (procedure) |
709470006,709470006 | Endoscopy of upper gastrointestinal tract and dilatation of duodenum (procedure) |
709421007,709421007 | Colonoscopy and dilatation of stricture of colon (procedure) |
709192002,709192002 | Local excision of lesion of duodenum (procedure) |
708920006,708920006 | Laparoscopic anterior resection of rectum using robotic assistance (procedure) |
708913004,708913004 | Laparoscopic abdominoperineal resection using robotic assistance (procedure) |
708876004,708876004 | Laparoscopic appendectomy using robotic assistance (procedure) |
708695008,708695008 | Percutaneous fine needle aspiration biopsy of rectum using imaging guidance (procedure) |
