,snomed,icd9,icd_term
15,73761001,45.23,Colonoscopy
25,80050006,45.25,Closed [endoscopic] biopsy of large intestine
39,28939002,45.42,Endoscopic polypectomy of large intestine
87,44441009,45.24,Flexible sigmoidoscopy
112,6025007,47.01,Laparoscopic appendectomy
113,50774009,17.33,Laparoscopic right hemicolectomy
116,274324002,48.24,Closed [endoscopic] biopsy of rectum
138,13004001,48.23,Rigid proctosigmoidoscopy
150,7223004,46.52,Closure of stoma of large intestine
151,1390003,17.36,Laparoscopic sigmoidectomy
156,44119001,45.91,Small-to-small intestinal anastomosis
159,112871003,45.94,Large-to-large intestinal anastomosis
182,66782001,46.51,Closure of stoma of small intestine
210,243775002,56.51,Formation of cutaneous uretero-ileostomy
226,85849005,46.03,Exteriorization of large intestine
244,398243002,70.52,Repair of rectocele
250,307260009,44.42,Suture of duodenal ulcer site
264,26390003,45.82,Open total intra-abdominal colectomy
283,43750003,45.3,Endoscopic excision or destruction of lesion of duodenum
311,174595005,46.41,Revision of stoma of small intestine
355,73978003,45.61,Multiple segmental resection of small intestine
357,57435001,45.22,Endoscopy of large intestine through artificial stoma
374,235407009,45.9,"Intestinal anastomosis, not otherwise specified"
382,89642006,48.62,Anterior resection of rectum with synchronous colostomy
422,53402007,45.12,Endoscopy of small intestine through artificial stoma
443,23478009,46.81,Intra-abdominal manipulation of small intestine
466,410006001,89.34,Digital examination of rectum
486,68188002,45.03,Incision of large intestine
535,41500002,87.63,Small bowel series
537,359548007,45.15,Open biopsy of small intestine
552,4862007,46.94,Revision of anastomosis of large intestine
558,359591002,46.71,Suture of laceration of duodenum
566,41536004,46.93,Revision of anastomosis of small intestine
587,42904002,48.71,Suture of laceration of rectum
590,74539002,46.82,Intra-abdominal manipulation of large intestine
619,44089008,96.26,Manual reduction of rectal prolapse
653,34264006,45.21,Transabdominal endoscopy of large intestine
664,29224002,45.11,Transabdominal endoscopy of small intestine
672,34414001,48.0,Proctotomy
681,73543008,45.26,Open biopsy of large intestine
686,59896001,96.22,Dilation of rectum
732,83599002,45.01,Incision of duodenum
802,70057004,56.35,Endoscopy (cystoscopy) (looposcopy) of ileal conduit
816,39166002,46.72,Closure of fistula of duodenum
850,176003,48.74,Rectorectostomy
874,90856004,45.63,Total removal of small intestine
880,61524001,46.02,Resection of exteriorized segment of small intestine
881,69191006,45.0,"Incision of intestine, not otherwise specified"
945,33649007,46.63,Fixation of large intestine to abdominal wall
1079,44061005,48.22,Proctosigmoidoscopy through artificial stoma
1082,87594008,46.8,"Intra-abdominal manipulation of intestine, not otherwise specified"
1135,71309007,46.5,"Closure of intestinal stoma, not otherwise specified"
1155,192461000,51.81,Dilation of sphincter of Oddi
1157,45220009,48.64,Posterior resection of rectum
1176,40667002,46.61,Fixation of small intestine to abdominal wall
1292,28177007,96.37,Proctoclysis
1342,42332004,47.91,Appendicostomy
1420,57474008,89.33,Digital examination of enterostomy stoma
1444,174310002,48.72,Closure of proctostomy
1511,47705001,48.91,Incision of rectal stricture
1517,20246000,46.6,"Fixation of intestine, not otherwise specified"
1571,76192001,46.04,Resection of exteriorized segment of large intestine
1615,13893002,47.92,Closure of appendiceal fistula
1660,88908007,99.93,Rectal massage (for levator spasm)
