conceptId,idAndFsnTerm
497861000119107,497861000119107 | Corneal pachymetry of bilateral eyes (procedure) |
38631000087106,38631000087106 | Extraction of cataract and implantation of intraocular lens in right eye (procedure) |
38621000087109,38621000087109 | Extraction of cataract and implantation of intraocular lens in left eye (procedure) |
1295184003,1295184003 | Laser assisted in situ keratomileusis of bilateral eyes (procedure) |
1295183009,1295183009 | Laser assisted in situ keratomileusis of right eye (procedure) |
1295182004,1295182004 | Laser assisted in situ keratomileusis of left eye (procedure) |
1290925004,1290925004 | Indirect surgical corneal neurotization using sural nerve graft to contralateral supratrochlear nerve (procedure) |
1290555004,1290555004 | Repair of filtering bleb by collagen cross linking (procedure) |
1290221003,1290221003 | Creation of conjunctival flap (procedure) |
1287894009,1287894009 | Repair of retinal defect by diathermy (procedure) |
1287893003,1287893003 | Repair of retinal tear by diathermy (procedure) |
1287892008,1287892008 | Repair of retinal defect (procedure) |
1287891001,1287891001 | Repair of retinal tear (procedure) |
1287866001,1287866001 | Trabeculectomy of right eye (procedure) |
1287865002,1287865002 | Trabeculectomy of left eye (procedure) |
1286918004,1286918004 | Portable electronic applanation tonometry (procedure) |
1286917009,1286917009 | Tonometry by palpation (procedure) |
1286913008,1286913008 | Goldmann correlated tonometry using ocular response analyzer (procedure) |
1286906008,1286906008 | Corneal compensated tonometry using ocular response analyzer (procedure) |
1286902005,1286902005 | Dynamic contour tonometry (procedure) |
1286871003,1286871003 | Mackay-Marg tonometry (procedure) |
1286870002,1286870002 | Rebound tonometry (procedure) |
1279670007,1279670007 | Harvesting of cornea (procedure) |
1269465006,1269465006 | Trabeculectomy with intraoperative implantation of biodegradable collagen matrix (procedure) |
1255221007,1255221007 | Implantation of prosthetic intraocular lens into right eye (procedure) |
1255218005,1255218005 | Implantation of prosthetic intraocular lens into left eye (procedure) |
1236928007,1236928007 | Surgery of cataract of bilateral eyes (procedure) |
1231300009,1231300009 | Extraction of cataract of left eye (procedure) |
1231299001,1231299001 | Extraction of cataract of right eye (procedure) |
1231296008,1231296008 | Extraction of cataract of bilateral eyes (procedure) |
1230281003,1230281003 | Transplant of bilateral cornea of eyes (procedure) |
1222623009,1222623009 | Penetrating keratoplasty with implantation of posterior chamber intraocular lens (procedure) |
1222582007,1222582007 | Phototherapeutic keratectomy using argon fluoride excimer laser (procedure) |
1197750008,1197750008 | Reattachment of retina using endolaser photocoagulation (procedure) |
1187011002,1187011002 | Reformation of anterior chamber by injection (procedure) |
1186897008,1186897008 | Endoscopic laser cyclophotocoagulation of ciliary body (procedure) |
1179030003,1179030003 | Trabeculectomy ab interno (procedure) |
1156643002,1156643002 | Endolaser photocoagulation of retina (procedure) |
1137555003,1137555003 | Destruction of chorioretinal lesion (procedure) |
1004086006,1004086006 | Meibography (procedure) |
1004045004,1004045004 | Intravitreal injection of anti-vascular endothelial growth factor (procedure) |
1004036000,1004036000 | Removal of filament of anterior surface of cornea (procedure) |
880071007,880071007 | Thermal pulsation treatment of meibomian gland (procedure) |
880069007,880069007 | Diamond burr superficial keratectomy (procedure) |
879785009,879785009 | Mechanical dilation of pupil (procedure) |
866200001,866200001 | Ultrasonography of bilateral eyes (procedure) |
860934001,860934001 | Surgery of cataract of right eye (procedure) |
860930005,860930005 | Surgery of cataract of left eye (procedure) |
838278005,838278005 | Assessment using eye tracking technology (procedure) |
833324006,833324006 | Yttrium aluminum garnet laser vitreolysis (procedure) |
833312004,833312004 | Pneumatic vitreolysis (procedure) |
816029007,816029007 | Corneal collagen cross linking (procedure) |
789687002,789687002 | Scleral depression (procedure) |
785883009,785883009 | Removal of surgically implanted extraocular implant from posterior segment of eye (procedure) |
785831002,785831002 | Transplant of cornea of left eye (procedure) |
785830001,785830001 | Transplant of cornea of right eye (procedure) |
785683006,785683006 | Manual expression of meibomian gland (procedure) |
782707007,782707007 | Circumferential viscodilation and tensioning of sinus venosus of sclera by external approach (procedure) |
782706003,782706003 | Subconjunctival insertion of transcleral gelatin stent (procedure) |
773335005,773335005 | Epiretinal brachytherapy with vitrectomy (procedure) |
771988004,771988004 | Deep anterior lamellar keratoplasty (procedure) |
763097008,763097008 | Repair of penetrating eye injury (procedure) |
736531000,736531000 | Repair of laceration of cornea (procedure) |
722186004,722186004 | Descemet's membrane automated endothelial keratoplasty (procedure) |
722185000,722185000 | Descemet's membrane endothelial keratoplasty (procedure) |
722184001,722184001 | Descemet's stripping automated endothelial keratoplasty (procedure) |
722161008,722161008 | Diabetic retinal eye exam (procedure) |
719179007,719179007 | Removal of conjunctival concretion (procedure) |
713667001,713667001 | Ex vivo cultured limbal epithelial cell autograft to ocular surface (procedure) |
713639005,713639005 | Ex vivo cultured living related limbal cell allograft to ocular surface (procedure) |
713591001,713591001 | Ex vivo cultured autologous oral mucosal epithelial cell transplant to ocular surface (procedure) |
713585003,713585003 | Ex vivo cultured limbal epithelial cell allograft to ocular surface (procedure) |
713161004,713161004 | Lysis of suture of scleral flap using laser (procedure) |
709099008,709099008 | Lysis of vitreous in anterior chamber of eye using laser (procedure) |
709088006,709088006 | Repair of retina for retinal detachment using indirect binocular laser ophthalmoscope (procedure) |
709085009,709085009 | Repair of retina for retinal detachment using diode laser (procedure) |
709082007,709082007 | Endothelial keratoplasty (procedure) |
708857001,708857001 | Laser goniopuncture (procedure) |
708689007,708689007 | Removal of loose suture in eye (procedure) |
703983008,703983008 | Fixation of retina by diathermy (procedure) |
700417008,700417008 | Excision of pterygium with amniotic membrane graft (procedure) |
700401002,700401002 | Excision of pterygium with graft to conjunctiva (procedure) |
700373001,700373001 | Repair of hole of macula lutea (procedure) |
700070005,700070005 | Optical coherence tomography of retina (procedure) |
698939004,698939004 | Implantation of artificial iris (procedure) |
608849003,608849003 | Surgical procedure on eye proper using laser (procedure) |
473370001,473370001 | Drainage of subretinal fluid after choroidal detachment (procedure) |
473369002,473369002 | Drainage of suprachoroidal fluid after choroidal detachment (procedure) |
473279002,473279002 | Photodynamic therapy of chorioretinal lesion (procedure) |
450698009,450698009 | Repair of retina (procedure) |
448748005,448748005 | Application of eye patch (procedure) |
447479006,447479006 | Excision of secondary anterior segment membrane by transcleral approach (procedure) |
447429008,447429008 | Excision of secondary membrane of anterior segment of eye by pars plana approach (procedure) |
447361006,447361006 | Repositioning of corneal flap (procedure) |
447304001,447304001 | One stage extracapsular extraction of lens and insertion of prosthetic intraocular lens (procedure) |
447219003,447219003 | Cryoablation of retina (procedure) |
447099007,447099007 | Scraping of conjunctiva (procedure) |
446938009,446938009 | Biopsy of eye proper (procedure) |
446862000,446862000 | One stage intracapsular extraction of lens with insertion of prosthetic intraocular lens (procedure) |
446718003,446718003 | Drainage of blood from suprachoroidal space (procedure) |
446635005,446635005 | Excision of lesion of conjunctiva and excision of adjacent sclera (procedure) |
