conceptId,idAndFsnTerm
16332841000119106,16332841000119106 | Computed tomography angiography of pulmonary artery with contrast (procedure) |
829831000000100,829831000000100 | Insertion of fiducial marker into lung using computed tomography guidance (procedure) |
61000087103,61000087103 | Fluoroscopic bronchography of right bronchus (procedure) |
51000087101,51000087101 | Fluoroscopic bronchography of left bronchus (procedure) |
1119345001,1119345001 | Radiography of right bronchus with contrast (procedure) |
1119344002,1119344002 | Radiography of left bronchus with contrast (procedure) |
870380006,870380006 | Lung ultrasound surface wave elastography (procedure) |
770700009,770700009 | Insertion of stent into bronchus using fluoroscopic guidance (procedure) |
765042000,765042000 | Angiography of right pulmonary artery (procedure) |
765041007,765041007 | Angiography of left pulmonary artery (procedure) |
764864002,764864002 | Radionuclide imaging of lung ventilation using technetium (99m-Tc) technegas (procedure) |
736974006,736974006 | Excision of middle lobe of right lung (procedure) |
735016006,735016006 | Complete excision of right lung (procedure) |
735015005,735015005 | Complete excision of left lung (procedure) |
726428009,726428009 | Lobectomy of upper lobe of right lung (procedure) |
726427004,726427004 | Lobectomy of upper lobe of left lung (procedure) |
726426008,726426008 | Lobectomy of lower lobe of left lung (procedure) |
726425007,726425007 | Lobectomy of lower lobe of right lung (procedure) |
721044005,721044005 | Dual energy computed tomography angiography of pulmonary artery with contrast (procedure) |
713162006,713162006 | Removal of lung from cadaver donor (procedure) |
708884000,708884000 | Excision of emphysematous bleb of lung (procedure) |
708861007,708861007 | Percutaneous cryoablation of lung (procedure) |
708812005,708812005 | Percutaneous drainage of lung using imaging guidance (procedure) |
702544007,702544007 | Harvesting of lobe of lung from living donor (procedure) |
450873006,450873006 | Plication of emphysematous bleb of lung (procedure) |
450608000,450608000 | Destruction of lesion of lung (procedure) |
450348001,450348001 | Biopsy of lesion of lung (procedure) |
448538005,448538005 | Harvesting of lobe of lung from donor (procedure) |
448523009,448523009 | Endoscopic ultrasonography of lung (procedure) |
448287006,448287006 | Excision of polyp of bronchus (procedure) |
447975009,447975009 | Sleeve resection of bronchus and anastomosis (procedure) |
447751001,447751001 | Endoscopic excision of polyp of bronchus (procedure) |
443396005,443396005 | Pneumonostomy with open drainage of abscess of lung using computed tomography guidance (procedure) |
442303003,442303003 | Deflation of lung (procedure) |
442226007,442226007 | Partial reinflation of lung (procedure) |
441677009,441677009 | Imaging of lung (procedure) |
441624004,441624004 | Single photon emission computed tomography of ventilation of lung (procedure) |
440466000,440466000 | Single photon emission computed tomography of lung (procedure) |
433857008,433857008 | Fluoroscopic angiography of pulmonary artery using contrast with insertion of stent graft (procedure) |
433240003,433240003 | Percutaneous thrombolysis of pulmonary artery using fluoroscopic guidance (procedure) |
433030005,433030005 | Replacement of pulmonary artery catheter using fluoroscopic guidance with contrast (procedure) |
432231006,432231006 | Fine needle aspiration biopsy of lung (procedure) |
432074001,432074001 | Removal of pulmonary artery catheter using fluoroscopic guidance with contrast (procedure) |
432067006,432067006 | Fluoroscopic angiography of pulmonary artery using contrast with insertion of stent (procedure) |
431596004,431596004 | Percutaneous mechanical thrombectomy of pulmonary artery using fluoroscopic guidance with contrast (procedure) |
431489004,431489004 | Fluoroscopic angiography of pulmonary artery with contrast with pressure measurement (procedure) |
431430006,431430006 | Radionuclide imaging of lung for pulmonary aspiration (procedure) |
431216004,431216004 | Insertion of catheter into pulmonary artery using fluoroscopic guidance with contrast (procedure) |
429609002,429609002 | Lung volume reduction surgery (procedure) |
429122009,429122009 | Percutaneous transluminal balloon angioplasty with insertion of stent into pulmonary artery (procedure) |
427800005,427800005 | Removal of foreign body of lung by incision (procedure) |
427138007,427138007 | Repair of anomalous pulmonary artery origin from ascending aorta (procedure) |
426987001,426987001 | Percutaneous radiofrequency ablation of lesion of lung (procedure) |
426436008,426436008 | Repair of pulmonary arterial sling (procedure) |
425948009,425948009 | Percutaneous angioplasty of pulmonary artery (procedure) |
425437006,425437006 | Ligation of pulmonary artery (procedure) |
418876000,418876000 | Fluoroscopic bronchography (procedure) |
418786005,418786005 | Magnetic resonance angiography of pulmonary artery (procedure) |
418549007,418549007 | Fluoroscopic angiography of pulmonary artery with contrast (procedure) |
398194002,398194002 | Suture of laceration of bronchus (procedure) |
397840008,397840008 | Bronchorrhaphy (procedure) |
397398007,397398007 | Catheterization of bronchus with lavage (procedure) |
397396006,397396006 | Aspiration of bronchus with lavage (procedure) |
397395005,397395005 | Lavage of bronchus (procedure) |
387748005,387748005 | Cauterization of lung lesion (procedure) |
387747000,387747000 | Cauterization of lung (procedure) |
359623004,359623004 | Total lobectomy of lung (procedure) |
359618004,359618004 | Segmental lobectomy (procedure) |
359615001,359615001 | Partial lobectomy of lung (procedure) |
337877003,337877003 | Thoracotomy for excision of emphysematous bleb of lung (procedure) |
336863008,336863008 | Excision of cyst of lung (procedure) |
312849006,312849006 | Biopsy of bronchus (procedure) |
310832007,310832007 | Stapling of bronchus (procedure) |
310394000,310394000 | Stapling of lung laceration (procedure) |
310393006,310393006 | Suture of lung laceration (procedure) |
303931008,303931008 | Lung X-ray (procedure) |
301083005,301083005 | Embolization of pulmonary artery (procedure) |
287465001,287465001 | Percutaneous needle biopsy lung (procedure) |
287310004,287310004 | Lung tumor excision (procedure) |
287309009,287309009 | Lung cyst removal (procedure) |
287306002,287306002 | Exploration of bronchus (procedure) |
287305003,287305003 | Removal of foreign body from bronchus by incision (procedure) |
287298008,287298008 | Lung plastic operation (procedure) |
287296007,287296007 | Dilation of bronchus (procedure) |
277437006,277437006 | Bronchial revascularization (procedure) |
277182002,277182002 | Resection of pulmonary artery (procedure) |
274319000,274319000 | Needle biopsy of lung (procedure) |
266701008,266701008 | Lung collapse prevention (procedure) |
261566003,261566003 | Tangential pulmonary artery resection (procedure) |
261563006,261563006 | Sleeve pulmonary artery resection (procedure) |
241616006,241616006 | Magnetic resonance imaging of lungs (procedure) |
241542003,241542003 | Computed tomography of lungs with diagnostic pneumothorax (procedure) |
241541005,241541005 | High resolution computed tomography of lungs (procedure) |
241540006,241540006 | Computed tomography of lungs (procedure) |
241304008,241304008 | Radionuclide lung permeability study (procedure) |
241303002,241303002 | Radionuclide mucociliary clearance study (procedure) |
241302007,241302007 | Diethylenetriaminepentaacetate aerosol ventilation study (procedure) |
241299007,241299007 | Xenon-127 ventilation study (procedure) |
241298004,241298004 | Xenon-133 ventilation study (procedure) |
241297009,241297009 | Xenon ventilation study (procedure) |
241293008,241293008 | Radionuclide study of lung (procedure) |
241227002,241227002 | Selective angiography of pulmonary artery (procedure) |
241226006,241226006 | Pulmonary angiography by main pulmonary artery injection (procedure) |
241053004,241053004 | Radiographic measurement of lung volume (procedure) |
233216008,233216008 | Excision of vegetations from pulmonary trunk (procedure) |
