,snomed,icd9,icd_term
172,441677009,92.15,Pulmonary scan
235,10611004,92.24,Teleradiotherapy using photons
313,232628003,33.28,Open biopsy of lung
689,310393006,33.43,Closure of laceration of lung
693,45558009,33.1,Incision of lung
709,232657004,33.51,Unilateral lung transplantation
735,83794005,99.88,Therapeutic photopheresis
742,45643008,92.25,Teleradiotherapy using electrons
744,115959002,92.3,"Stereotactic radiosurgery, not otherwise specified"
812,5304008,92.22,Orthovoltage radiation
870,64522003,14.27,Destruction of chorioretinal lesion by implantation of radiation source
954,429609002,32.22,Lung volume reduction surgery
1255,228661008,92.21,Superficial radiation
1540,85257004,14.26,Destruction of chorioretinal lesion by radiation therapy
1659,88039007,33.5,"Lung transplantation, not otherwise specified"
