concept,methods,category
172286002,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
13004001,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
81092009,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
395096001,"['360037004 | Imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
73761001,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
789778002,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129406001 | Transplantation - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
228689006,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
446362009,"['129390001 | Coagulation - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169009002,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
446747005,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169309008,,
169318005,,
115960007,,
47479005,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
307655001,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
450481004,"['360027009 | Interposition - action (qualifier value) |', '299893001 | Interposition anastomosis - action (qualifier value) |', '257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
228676000,,
52667004,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
12827003,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
73174000,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129287005 | Incision - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
307658004,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
285786003,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
447979003,"['129390001 | Coagulation - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
418294002,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
396226005,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129314006 | Biopsy - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
359944002,"['257903006 | Repair - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169353003,"['257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129330003 | Infusion - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
44378008,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
445232009,,
265402006,"['360020006 | Extirpation - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
429774000,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
428412000,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
428923005,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
230911008,"['360037004 | Imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
394918006,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
68671008,"['129403009 | Chemosurgery - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
16560241000119104,"['257863009 | Radioactive destruction (qualifier value) |', '129445006 | Administration - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
720379009,"['129445006 | Administration - action (qualifier value) |', '129330003 | Infusion - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
53003006,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
241168000,"['360037004 | Imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
24496007,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
91392002,"['129287005 | Incision - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
449013002,"['129392009 | Cauterization - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
276190007,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
235391001,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
241164003,"['360037004 | Imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
87602008,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
12149006,"['129445006 | Administration - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
31652009,"['129445006 | Administration - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
13327002,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
428829005,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
44441009,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
51977003,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
82900007,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
708920006,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
50632006,,
169292008,,
372262002,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
431476005,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
12863003,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
1390003,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
174346006,"['257903006 | Repair - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
9280007,"['257903006 | Repair - action (qualifier value) |', '129377008 | Reconstruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
73921006,"['257903006 | Repair - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
448653006,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
84952009,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
441783000,"['129382001 | Destruction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
445954002,"['360037004 | Imaging - action (qualifier value) |', '312251004 | Computed tomography imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
235153008,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
31504008,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
