concept_id,concept_text
80146002,Appendicectomy
49438003,Appendicectomy with drainage
49586007,Appendicocaecostomy
32578005,Biopsy of appendix
13893002,Closure of appendiceal fistula
711169008,Closure of appendicovesicostomy
174036004,Emergency appendicectomy
174039006,Emergency excision of normal appendix
1299000,Excision of appendiceal stump
443935000,Excision of ruptured appendix by open approach
42332004,Fistulisation of appendix
82730006,Incidental appendicectomy
37402004,Incision and drainage of abscess of appendix
6726004,Incision and drainage of appendiceal abscess by transabdominal approach
17041004,Incision of appendix
174045003,Interval appendicectomy
6025007,Laparoscopic appendicectomy
174041007,Laparoscopic emergency appendicectomy
307581005,Laparoscopic interval appendicectomy
235316007,Malone's operation
235313004,Non-emergency appendicectomy
443037006,Percutaneous drainage of abscess of appendix using computed tomography guidance
708876004,Robot assisted laparoscopic appendectomy
710197007,Ultrasonography of appendix
