concept_id,concept_text
404626004,Anterior capsulorrhexis
64854001,Aspiration of lens
418121005,Bimanual phacoemulsification of lens with intraocular lens implantation
172547002,Biopsy of lesion of lens
422103004,Can opener anterior capsulotomy
63356004,Capsulectomy of lens
88096002,Capsulectomy with extraction of lens
231749006,Capsulorrhexis of lens capsule
172529008,Capsulotomy of anterior lens capsule
85785001,Capsulotomy of lens
360411008,Capsulotomy of lens with removal of foreign body
78191003,Capsulotomy of lens with removal of foreign body by magnet extraction
172530003,Capsulotomy of posterior lens capsule
397544007,Complicated cataract surgery
172525002,Cryoextraction of lens
44269004,Curette evacuation of lens
44819003,Destructive procedure of lens
35717002,Discission of congenital cataract
50538003,"Discission of membranous cataract, primary"
9137006,"Discission of membranous cataract, secondary"
3700004,Erysiphake extraction of cataract by intracapsular approach
231751005,Exchange of intraocular lens
75227000,Excision and prosthetic replacement of lens
13793006,Extracapsular extraction of lens
18137003,Extracapsular extraction of lens by aspiration and irrigation technique
19740002,Extracapsular extraction of lens by inferior temporal route
67991000,Extracapsular extraction of lens by linear extraction technique
4877004,Extracapsular extraction of lens with iridectomy
66226002,Extraction of after cataract with capsulotomy
64835001,Extraction of after cataract with iridocapsulectomy
75170007,Extraction of lens of eye
46309001,Extraction of primary membranous cataract by excision
336651000,Extraction of primary membranous cataract by mechanical fragmentation
51839008,Extraction of primary membranous cataract by needling
335636001,Extraction of primary membranous cataract by phacofragmentation
19208002,Extraction of secondary membrane by discission
22127001,Extraction of secondary membrane by mechanical fragmentation
79259004,Extraction of secondary membrane by needling
40163002,Extraction of secondary membrane with capsulectomy
172524003,Forceps extraction of lens
74184007,"Incisional discission of lens capsule, initial"
46562009,Incisional discission of secondary membranous cataract and anterior hyaloid
172523009,Intracapsular extraction of lens
66359001,Intracapsular extraction of lens by inferior temporal route
18476009,Intracapsular extraction of lens with iridectomy and enzymes
89978003,Intracapsular extraction of lens with iridectomy for dislocated lens
83868006,Iridocapsulectomy
231748003,Laser capsulotomy of lens capsule
120121008,Lens closure
120122001,Lens reconstruction
39243005,Mechanical fragmentation of cataract with extraction by posterior route
33481008,Mechanical fragmentation of secondary membrane
172538005,Mechanical lensectomy
30104007,Needling of lens capsule
12163000,Needling of secondary cataract
447304001,One stage extracapsular extraction of lens and insertion of prosthetic intraocular lens
446490007,One stage extracapsular extraction of lens and insertion of prosthetic intraocular lens by inferior temporal route
446590009,One stage intracapsular extraction of lens by inferior temporal route and insertion of prosthetic intraocular lens
446862000,One stage intracapsular extraction of lens with insertion of prosthetic intraocular lens
231750006,Pars plana lensectomy
410702009,Pars plana lensectomy of cataract
401306006,Phacoemulsification of lens and insertion of intraocular lens
404627008,Posterior capsulorrhexis
312714009,Relocation of intraocular lens from vitreous cavity
360405005,Removal of foreign body of lens by incision
70107009,Repair of ocular lens
172549004,Reposition of lens of eye
231752003,Repositioning of intraocular lens
172542008,Revision of intraocular lens
265295001,Simple linear extraction of lens
231747008,Surgical capsulotomy of lens capsule
404629006,YAG laser anterior capsulotomy
172532006,YAG laser capsulotomy of lens
309556000,YAG laser posterior capsulotomy
66542005,Zonulolysis with lens extraction
