concept_id,concept_text
265414003,Abdominoperineal resection
385341003,Abdominoperineal resection of anus
722482005,ABVD chemotherapy regimen
363688001,Administration of antineoplastic agent
1255834000,Administration of antineoplastic chemotherapy into peritoneal cavity
830155008,Administration of hyperthermic antineoplastic agent into peritoneal cavity
830156009,Administration of hyperthermic antineoplastic agent into thoracic cavity
268500004,Administration of prophylactic chemotherapy
169394006,Afterload radiotherapy of oropharyngeal cavity
241164003,Air contrast barium enema
1501006,"Altemeier operation, perineal rectal pull-through"
315601005,Ambulatory chemotherapy
22781005,Anal cerclage
79648003,Anal cryptectomy
88642000,"Anal cryptectomy, multiple"
274295008,Anal examination
392027008,Anal fissurectomy
86888002,Anal fistulectomy
29401007,"Anal fistulectomy, complex"
267001,"Anal fistulectomy, multiple"
9521005,"Anal fistulectomy, second stage"
37924007,"Anal fistulectomy, subcutaneous"
63992008,"Anal fistulectomy, submuscular"
235369008,Anal myectomy
347954002,Anal papillectomy
61902006,Anal pectenotomy
252636004,Anal sphincter manometry
359944002,Anal sphincteroplasty for current obstetrical laceration
359941005,Anal sphincterorrhaphy for obstetrical laceration
89770003,Anal sphincterotomy
274353001,Anal surgical biopsy
287800000,Anal tag removal
14690009,Anastomosis of large intestine to rectum
176003,Anastomosis of rectum
271410001,Anorectal stretch
235376003,Anterior fixation of rectum
289060008,Anterior resection of rectal prolapse
4558008,Anterior resection of rectum
174241004,Anterior resection of rectum and anastomosis of colon to rectum using staples
448653006,Anterior resection of rectum and total mesorectal excision with colostomy
315328007,Anterior resection of rectum with anastomosis
89642006,Anterior resection of rectum with colostomy
897713009,Antineoplastic chemoimmunotherapy
716872004,Antineoplastic chemotherapy regimen
119900003,Anus closure
119907000,Anus manipulation
119902006,Anus reconstruction
119906009,Anus transplantation
446362009,Argon plasma coagulation of colon
447979003,Argon plasma coagulation of lesion of rectum
445935002,Argon plasma coagulation of lesion of sigmoid colon
438216009,Balloon expulsion test
300040009,Banding of redundant anal mucosa
168836005,Barium enema
174027003,Barium enema for radiological reduction of intussusception of ileum
169328001,Beta source contact therapy
169310003,Betatron electron therapy
33356009,Betatron external beam radiation therapy
169303009,Betatron photon therapy
228662001,Betatron X-ray therapy
50623009,Biopsy of anorectal wall by anal approach
36488007,Biopsy of anus
76164006,Biopsy of colon
174384000,Biopsy of lesion of anus
54686006,Biopsy of rectum
169343004,Bone marrow suppression - irradiation
169345006,Bone tumour/metastasis irradiation
445232009,Boost radiation therapy
152198000,Brachytherapy
50080181000188101,Brachytherapy of bone
447759004,Brachytherapy of breast
431399005,Brachytherapy using iodine (131-I) ethiodized oil
448137007,Brachytherapy using radioiodine
174121000,Bypass of colon
174125009,Bypass of colon by anastomosis of transverse colon to sigmoid colon
50012009,Caecopexy
307584002,Caecoplasty
36788006,Caecoplication
17473003,Caecotomy
228677009,Caesium 137 brachytherapy
312243002,Caesium 137 brachytherapy remote afterloading
228688003,Californium 252 brachytherapy
74854002,Cauterisation of anus
397202000,Cauterisation of haemorrhoids
174338005,Cauterisation of lesion of anus
449013002,Cauterisation of verruca of anus
307583008,Cecectomy
367336001,Chemotherapy
29391003,Chemotherapy administration into peritoneal cavity requiring paracentesis
70446004,Chemotherapy administration into pleural cavity requiring thoracentesis
12149006,"Chemotherapy administration, subcutaneous, with local anaesthesia"
399042005,Chemotherapy cycle
232681000000103,Chemotherapy delivery
22733003,Chemotherapy for non-malignant neoplasm
68619000,Chemotherapy for non-neoplastic disease
235390000,Closed haemorrhoidectomy
442289003,Closure of anal fistula using plug
60523002,Closure of caecostomy
79433000,Closure of colon fistula
3183007,Closure of colostomy
307665007,Closure of defunctioning colostomy
174310002,Closure of proctostomy
72811008,Closure of sigmoidostomy
228681009,Cobalt 60 brachytherapy
228682002,Cobalt 60 brachytherapy manual loading
312244008,Cobalt 60 brachytherapy remote afterloading
24242005,Cobalt-60 therapy
23968004,Colectomy
35965008,Colocentesis
89522007,Colocolostomy
168847003,Colon double contrast examination
274025005,Colonic polypectomy
447977001,Colonoscopic argon plasma coagulation of lesion of rectum
1263397001,Colonoscopic control of rectal bleeding using electrocoagulation
448811007,Colonoscopic excision of mucosa of rectum
449106004,Colonoscopic excision of polyp of rectum
311774002,Colonoscopic polypectomy
10371000132109,Colonoscopic snare polypectomy of colon
1260482004,Colonoscopic stent insertion
73761001,Colonoscopy
235343002,Colonoscopy and extirpation of lesion of colon
447021001,Colonoscopy and tattooing
748021000000100,Colonoscopy using enhanced visualisation single use device
12350003,Colonoscopy with rigid sigmoidoscope through colotomy
6190006,Colopexy
66740000,Coloplication
1337002,Colosigmoidostomy
168843004,Colostomy enema
431476005,Colostomy enema with water soluble contrast
9215005,Colotomy
359860002,Colotomy for biopsy
444688002,Colporectopexy
703423002,Combined chemotherapy and radiation therapy
394935005,Combined postoperative chemotherapy and radiotherapy
394934009,Combined pre-operative chemotherapy and radiotherapy
169331000,Combined radiotherapy
20874001,Complete excision of anus
61498008,Complete external haemorrhoidectomy
445954002,Computed tomography of colon using intravenous contrast
441783000,Conformal radiotherapy
816151001,Consolidation antineoplastic chemotherapy
235385003,Construction of anal neosphincter
299681007,Construction of transverse loop colostomy
228660009,Contact therapy
315294004,Contrast enema
40366003,Control of haemorrhage from anus
709423005,Control of postoperative haemorrhage of anus
69058004,Conversion of rectal position
78299009,Core needle biopsy of rectum
307668009,Creation of rectal mucous fistula
79819006,Crushing of contents of rectum
77359006,Crushing of haemorrhoids
75157003,Cryosurgery for benign rectal tumour
174340000,Cryotherapy to lesion of anus
13173008,Cryptotomy of anus
431944009,CT with contrast enema
28905001,Curettage of anus
50632006,Cyclotron external beam radiation therapy
228674002,Cyclotron neutron external beam radiation therapy
372295008,Cytologic examination of anus
81005001,Decompression of imperforate anus
287786002,Decompression of rectum
235356009,Decompression of sigmoid colon using flatus tube
5304008,"Deep radiation therapy, 200-300 KVP"
169295005,Deep X-ray therapy 150-400 kV
1254742000,Delayed intensification antineoplastic therapy regimen
238041000000102,Delivery of a fraction of interstitial radiotherapy
236231000000101,Delivery of a fraction of intracavitary radiotherapy
236441000000109,Delivery of a fraction of radiotherapy on a superficial or orthovoltage machine
238051000000104,Delivery of a fraction of simple radiotherapy on a megavoltage machine
236221000000103,Delivery of a fraction of total body irradiation (TBI)
235391000000102,Delivery of chemotherapy for neoplasm
238841000000107,Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance
238851000000105,Delivery of complex parenteral chemotherapy for neoplasm at first attendance
238831000000103,Delivery of exclusively oral chemotherapy for neoplasm
235331000000103,Delivery of oral chemotherapy for neoplasm
238861000000108,Delivery of simple parenteral chemotherapy for neoplasm at first attendance
239071000000100,Delivery of subsequent element of cycle of chemotherapy for neoplasm
64522003,Destruction of chorioretinal lesion by implantation of radiation source
85257004,Destruction of chorioretinal lesion by radiation therapy
174357001,Destruction of haemorrhoid
2908005,Destruction of haemorrhoids by cryotherapy
8422009,Destruction of haemorrhoids by sclerotherapy
72169004,"Destruction of haemorrhoids, external"
6634001,"Destruction of haemorrhoids, internal"
174337000,Destruction of lesion of anus
78110003,Destruction of lesion of choroid by implantation of radiation source
63506005,Destruction of lesion of choroid by radiation therapy
52838002,Destruction of lesion of rectum
50250005,Destruction of lesion of rectum by cauterisation
68671008,Destruction of lesion of rectum by chemicals
31126004,Destruction of lesion of rectum by cryosurgery
23121008,Destruction of lesion of rectum by electrocoagulation
14771009,Destruction of lesion of rectum by electrodesiccation
361173000,Destruction of lesion of rectum by fulguration
81214004,Destruction of lesion of rectum by laser
43111005,Destruction of lesion of retina by implantation of radiation source
440222004,Destruction of malignant neoplasm of rectum using cryosurgery
228675001,Deuterium on tritium neutron external beam radiation therapy
169315008,Deuteron therapy
788641000000106,Diagnostic endoscopic examination of colonic pouch using rigid sigmoidoscope
22998002,Digital examination of colostomy stoma
410006001,Digital examination of rectum
307242009,Dilatation of colonic anastomotic stricture
307241002,Dilatation of colonic stricture
307245006,Dilatation of rectal anastomotic stricture
307244005,Dilatation of rectal stricture
174368001,Dilation of anal sphincter
4904006,Dilation of anal sphincter under nonlocal anaesthesia
72662009,Dilation of anus
72915000,Dilation of colon
82692008,Dilation of rectal stricture under nonlocal anaesthesia
59896001,Dilation of rectum
235358005,Distal colon loop washout via loop colostomy
241166001,Distal loop enema
275017002,Duhamel removal of colorectal septum
235360007,Dunphy repair for rectal prolapse
843671000000104,Electrochemotherapy
51408001,Electrodesiccation of malignant tumour of rectum by transanal approach
313092005,Electromagnetic energy therapy
431553009,Endoanal US examination of rectal sphincter
429820004,Endorectal US scan
274323008,Endoscopic biopsy of colon
274324002,Endoscopic biopsy of rectum
21795006,Endoscopic brush biopsy of rectum
174208002,Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
174210000,Endoscopic cryotherapy to lesion of sigmoid colon using rigid sigmoidoscope
144731000000102,Endoscopic decompression of sigmoid colon using rigid sigmoidoscope
31319008,Endoscopic destruction of lesion of anus
609188008,Endoscopic destruction of tissue of anus
174215005,Endoscopic dilation of sigmoid colon using rigid sigmoidoscope
53676003,Endoscopic excision of lesion of anus
609191008,Endoscopic excision of tissue of anus
265402006,Endoscopic extirpation of lesion of colon
235342007,Endoscopic extirpation of lesion of rectum using fibreoptic sigmoidoscope
