concept_id,concept_text
172390002,Amniotic graft to conjunctiva
404626004,Anterior capsulorrhexis
413550005,Anterior ciliary sclerotomy
2914003,Anterior sclerotomy
120117001,Anterior segment of eye closure
108150009,Anterior segment of eye endoscopy
108148001,Anterior segment of eye excision
108147006,Anterior segment of eye incision
120118006,Anterior segment of eye reconstruction
120119003,Anterior segment of eye repair
397560006,Anterior stromal corneal puncture
172555009,Anterior vitrectomy
252803002,Applanation tonometry
225693001,Applying double eye pad
225692006,Applying eye pad and bandage
225691004,Applying eye pad and shield
413572007,Arcuate keratotomy
371348009,Argon laser iridotomy
404636007,Argon laser trabeculoplasty
838278005,Assessment using eye tracking technology
313275006,Astigmatic keratotomy
359858004,Barkan operation
359573007,Barkan operation with goniopuncture
225683008,Bathing eye
418121005,Bimanual phacoemulsification of lens with intraocular lens implantation
44716001,Biopsy of cornea
446938009,Biopsy of eye proper
25302008,Biopsy of iris
231787003,Biopsy of lesion of choroid
172399001,Biopsy of lesion of conjunctiva
172435005,Biopsy of lesion of cornea
231559005,Biopsy of lesion of globe
172497000,Biopsy of lesion of iris
172547002,Biopsy of lesion of lens
172468003,Biopsy of lesion of sclera
172573007,Biopsy of retinal lesion
231754002,Biopsy of vitreous
413651001,Bioptics
310441008,Buckling of sclera using explant
314971001,Camera fundoscopy
422103004,Can opener anterior capsulotomy
63356004,Capsulectomy of lens
231749006,Capsulorrhexis of lens capsule
172529008,Capsulotomy of anterior lens capsule
85785001,Capsulotomy of lens
360411008,Capsulotomy of lens with removal of foreign body
78191003,Capsulotomy of lens with removal of foreign body by magnet extraction
172530003,Capsulotomy of posterior lens capsule
231744001,"Cataract extraction, insertion of intraocular lens and trabeculectomy"
172509007,Cauterisation of ciliary body
77184003,Cauterisation of conjunctiva
60204005,Cauterisation of conjunctival lesion
172407006,Cauterisation of corneal lesion
80000004,Cauterisation of fistula of cornea
62178009,Cauterisation of iris
265297009,Cauterisation of lesion of retina
172447004,Cauterisation of lesion of sclera
44291006,Cauterisation of meibomian gland
40899005,Cauterisation of sclera
51081001,Cauterisation of superficial pannus
44592003,Cauterisation of ulcer of cornea
231717006,Cautery sclerostomy
3938007,Cerclage for retinal reattachment
31944008,Chemocauterisation of corneal epithelium
416100002,Ciliary body ablation
15366008,Ciliectomy of ciliary body
225684002,Cleaning eye
14727005,Closure of filtering bleb
33412005,Closure of fistula of cornea
38487005,Closure of fistula of cornea with lamellar autograft
70796002,Closure of fistula of cornea with lamellar homograft
397544007,Complicated cataract surgery
421339001,Computer-assisted videokeratoscopy
391999003,Confocal scanning laser ophthalmoscopy
419709005,Conjunctival autograft to conjunctiva
303636000,Conjunctival biopsy
290015004,Conjunctival graft procedure
47130006,Conjunctivoplasty with extensive rearrangement
75396001,Conjunctivoplasty with reconstruction of cul-de-sac and extensive rearrangement
13097002,Constriction of globe for scleral buckling
4581005,Coreoplasty
120114008,Cornea closure
108143005,Cornea excision
291790006,Cornea repair
397557004,Corneal esthesiometry
410456003,Corneal pachymetry
252829002,Corneal specular microscopy
252830007,Corneal topography
60656008,Corneal transplant
231708006,Correction of astigmatism
172401007,Creation of conjunctival hood
420679009,Cross-cylinder refraction
447219003,Cryoablation of retina
172525002,Cryoextraction of lens
71091006,Cryotherapy of ciliary body
172384001,Cryotherapy of conjunctival lesion
29911008,Cryotherapy of iris
420424006,Cryotherapy of ocular surface
172565003,Cryotherapy to lesion of retina
231760002,Cryotherapy to retina
388289006,Curettage of chalazion
53528007,Curettage of conjunctiva for trachoma follicles
172385000,Curettage of lesion of conjunctiva
6486000,Curettage of sclera
44269004,Curette evacuation of lens
231740005,Cyclochoroidectomy
359948004,Cyclodiathermy
359951006,Cycloelectrolysis
23379002,Cyclotomy
252843007,Darkroom test
172410004,Debridement of corneal lesion
413954006,Deep sclerectomy
413955007,Deep sclerectomy with collagen implant
426966006,Deep sclerectomy with spacer
426056001,Deep sclerectomy without spacer
62236008,Delimiting keratotomy
172508004,Destruction of ciliary body
21608006,Destruction of cyst of iris
8561003,Destruction of epithelial downgrowth of anterior chamber of eye
86948006,Destruction of lesion of choroid
73070007,Destruction of lesion of choroid by cryotherapy
25444001,Destruction of lesion of choroid by diathermy
81177005,Destruction of lesion of choroid by laser photocoagulation
64943007,Destruction of lesion of choroid by photocoagulation
63506005,Destruction of lesion of choroid by radiation therapy
112970003,Destruction of lesion of choroid by xenon arc photocoagulation
15912005,Destruction of lesion of conjunctiva
25316003,Destruction of lesion of cornea
59465003,Destruction of lesion of cornea by cryotherapy
46718002,Destruction of lesion of cornea by electrocauterisation
54755008,Destruction of lesion of eye
73689008,Destruction of lesion of iris
35009002,Destruction of lesion of retina
7898005,Destruction of lesion of retina by cryotherapy
90243001,Destruction of lesion of retina by diathermy
15915007,Destruction of lesion of retina by laser photocoagulation
427952005,Destruction of lesion of retina by panretinal laser photocoagulation
81924001,Destruction of lesion of retina by photocoagulation
75903006,Destruction of lesion of retina by xenon arc photocoagulation
4323007,Destruction of lesion of sclera
446279000,Destruction of pterygium using laser
425797007,Destruction of subretinal lesion
81085004,Destructive procedure of anterior segment of eye
62196000,Destructive procedure of cornea
373355003,Destructive procedure of eye proper
44819003,Destructive procedure of lens
42286009,Destructive procedure on posterior segment of eye
722161008,Diabetic retinal eye exam
410440008,Diabetic Retinopathy Study 7 field stereoscopic fundus photography
165162000,Diagnostic dye to eye
880069007,Diamond burr superficial keratectomy
231786007,Diathermy of choroid
426880003,Digital imaging of retina
390852004,Digital retinal screening
1683003,Direct closure of laceration of conjunctiva
10831003,Direct closure of laceration of conjunctiva with nonperforating scleral laceration
308110009,Direct fundoscopy following mydriatic
389155005,Direct gonioscopy
410450009,Direct ophthalmoscopy
35717002,Discission of congenital cataract
50538003,"Discission of membranous cataract, primary"
9137006,"Discission of membranous cataract, secondary"
82627009,Discission of vitreous strands by anterior approach
23598001,Discission of vitreous strands by posterior approach
5961007,Division of blood vessels of cornea
363096005,Division of eye structure
66922009,Division of goniosynechiae
17632005,Division of vitreous cicatricial bands by anterior approach
50518004,Division of vitreous cicatricial bands by posterior approach
16511003,Donor keratectomy
1286902005,Dynamic contour tonometry
41515001,Electrocoagulation of retina for destruction of lesion
31230008,Electrocoagulation of retina for repair of tear
39029006,Electromyogram examination of eye
414085008,Elevation-based corneal topography
30946002,Encircling procedure of sclera for buckling
231761003,Endocryotherapy to retina
445944001,Endodiathermy of vitreous body
231759007,Endodiathermy to retina
420029005,Endolaser photocoagulation
1156643002,Endolaser photocoagulation of retina
1186897008,Endoscopic laser cyclophotocoagulation of ciliary body
205336009,Enucleation of eye without implant
172132001,Enucleation of eyeball
397994004,Enucleation of eyeball with implant into Tenon's capsule
398031005,Enucleation of eyeball with insertion of orbital implant
1086741000000104,Epiretinal brachytherapy
773335005,Epiretinal brachytherapy with vitrectomy
172571009,Epiretinal dissection
3700004,Erysiphake extraction of cataract by intracapsular approach
427478009,Evaluation of retina
373356002,Evisceration of eye proper
29747000,Evisceration of ocular contents with implant into scleral shell
274798009,Examination of retina
231751005,Exchange of intraocular lens
75227000,Excision and prosthetic replacement of lens
300016001,Excision of choroid neoplasm
47242009,Excision of lesion of anterior chamber of eye
37741003,Excision of lesion of anterior segment of eye
231785006,Excision of lesion of choroid
88812000,Excision of lesion of ciliary body
39346000,Excision of lesion of conjunctiva
75588007,Excision of lesion of cornea
30823003,Excision of lesion of cornea by partial keratectomy
373357006,Excision of lesion of eye proper
47487006,Excision of lesion of iris
60712003,Excision of lesion of sclera
27652007,Excision of meibomian gland
41480002,Excision of prolapsed ciliary body
359851005,Excision of prominence of cornea in staphyloma
314126005,Excision of pupillary membrane
172572002,Excision of retinal lesion
300015002,Excision of retinal neoplasm
38722003,Excision of ring of conjunctiva around cornea
