concept_id,concept_text
722482005,ABVD chemotherapy regimen
363688001,Administration of antineoplastic agent
1255834000,Administration of antineoplastic chemotherapy into peritoneal cavity
830155008,Administration of hyperthermic antineoplastic agent into peritoneal cavity
830156009,Administration of hyperthermic antineoplastic agent into thoracic cavity
268500004,Administration of prophylactic chemotherapy
169394006,Afterload radiotherapy of oropharyngeal cavity
820361000000105,Allotransplantation of lobe of lung from live donor
315601005,Ambulatory chemotherapy
765041007,Angiography of left pulmonary artery
84200003,Angiography of pulmonary arteries
765042000,Angiography of right pulmonary artery
233214006,Angioplasty of pulmonary artery
897713009,Antineoplastic chemoimmunotherapy
716872004,Antineoplastic chemotherapy regimen
46412002,Apicectomy lung
173191000,Aspiration biopsy of lesion of lung
397396006,Aspiration of bronchus with lavage
232655007,Aspiration of lung lesion
15648005,Banding of pulmonary artery
169328001,Beta source contact therapy
169310003,Betatron electron therapy
33356009,Betatron external beam radiation therapy
169303009,Betatron photon therapy
228662001,Betatron X-ray therapy
232660006,Bilateral sequential single lung transplant
173170008,Bilobectomy of lung
312849006,Biopsy of bronchus
450348001,Biopsy of lesion of lung
78603008,Biopsy of lung
169343004,Bone marrow suppression - irradiation
169345006,Bone tumour/metastasis irradiation
445232009,Boost radiation therapy
152198000,Brachytherapy
50080181000188101,Brachytherapy of bone
447759004,Brachytherapy of breast
431399005,Brachytherapy using iodine (131-I) ethiodized oil
448137007,Brachytherapy using radioiodine
277437006,Bronchial revascularisation
819491000000107,Bronchial thermoplasty of lower lobe bronchus
819511000000104,Bronchial thermoplasty of upper lobe bronchus
86112008,Bronchoplasty
58074001,Bronchoplasty with graft repair
397840008,Bronchorrhaphy
820991000000100,Bronchoscopic lung volume reduction using airway valve
1363891000000109,Bronchoscopic thermal water vapour ablation of lung
119736005,Bronchus closure
119741002,Bronchus destructive procedure
119730004,Bronchus excision
119744005,Bronchus manipulation
119738006,Bronchus reconstruction
119743004,Bronchus transplantation
228677009,Caesium 137 brachytherapy
312243002,Caesium 137 brachytherapy remote afterloading
228688003,Californium 252 brachytherapy
397398007,Catheterisation of bronchus with lavage
61339001,Catheterisation with bronchial brush biopsy
387747000,Cauterisation of lung
387748005,Cauterisation of lung lesion
232652005,Cavernostomising of bulla of lung
367336001,Chemotherapy
29391003,Chemotherapy administration into peritoneal cavity requiring paracentesis
70446004,Chemotherapy administration into pleural cavity requiring thoracentesis
12149006,"Chemotherapy administration, subcutaneous, with local anaesthesia"
399042005,Chemotherapy cycle
232681000000103,Chemotherapy delivery
22733003,Chemotherapy for non-malignant neoplasm
68619000,Chemotherapy for non-neoplastic disease
228681009,Cobalt 60 brachytherapy
