,snomed,icd9,icd_term
102,274319000,33.26,Closed [percutaneous] [needle] biopsy of lung
103,287465001,33.26,Closed [percutaneous] [needle] biopsy of lung
179,173171007,32.49,Other lobectomy of lung
184,303931008,87.49,Other chest x-ray
212,88628008,88.73,Diagnostic ultrasound of other sites of thorax
280,119746007,32.29,Other local excision or destruction of lesion or tissue of lung
281,232632009,32.29,Other local excision or destruction of lesion or tissue of lung
512,1156383000,92.27,Implantation or insertion of radioactive elements
845,10611004,92.26,Teleradiotherapy of other particulate radiation
846,80347004,92.26,Teleradiotherapy of other particulate radiation
882,118640001,92.28,Injection or instillation of radioisotopes
992,64291000052106,92.23,Radioisotopic teleradiotherapy
993,62867004,92.23,Radioisotopic teleradiotherapy
994,77613002,92.23,Radioisotopic teleradiotherapy
1280,182655007,93.35,Other heat therapy
1689,384692006,92.2,Infusion of liquid brachytherapy radioisotope
