,icd_code,count_control,count_case,description,control_without,case_without,control_prevalence,case_prevalence,odds_ratio,in_codelist,fisher_exact
2,02HV33Z,7769.0,88.0,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",113137.0,958.0,6.425652986617703,8.413001912045889,1.3376937569178506,False,0.011306448745432554
13,4513,4212.0,52.0,Other endoscopy of small intestine,116694.0,994.0,3.4836980794997765,4.97131931166348,1.449362843729041,False,0.013799195786067257
31,4516,2804.0,41.0,Esophagogastroduodenoscopy [EGD] with closed biopsy,118102.0,1005.0,2.3191570310819976,3.9196940726577436,1.718292276137146,False,0.0018383550343304515
34,5491,2651.0,65.0,Percutaneous abdominal drainage,118255.0,981.0,2.1926124427240996,6.21414913957935,2.955657684615772,False,3.2665129793409195e-13
38,9904,2398.0,54.0,Transfusion of packed cells,118508.0,992.0,1.9833589730865302,5.162523900573614,2.6901752804756653,False,6.548344209829567e-10
39,9915,2339.0,73.0,Parenteral infusion of concentrated nutritional substances,118567.0,973.0,1.9345607331315235,6.9789674952198855,3.8031515299578573,False,5.241219556598834e-20
51,02H633Z,1835.0,31.0,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach",119071.0,1015.0,1.5177079714819777,2.9636711281070744,1.9818262842109502,False,0.0005625618703768338
58,5459,1631.0,63.0,Other lysis of peritoneal adhesions,119275.0,983.0,1.3489818536714473,6.022944550669216,4.686865555647728,False,8.408305537954681e-22
69,5732,1450.0,20.0,Other cystoscopy,119456.0,1026.0,1.1992787785552412,1.9120458891013385,1.605915171069436,False,0.04463177104578635
71,0390,1421.0,34.0,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,119485.0,1012.0,1.1752932029841365,3.2504780114722758,2.8249952018424924,False,2.5354933272901913e-07
75,4525,1375.0,118.0,Closed [endoscopic] biopsy of large intestine,119531.0,928.0,1.1372471175954875,11.281070745697896,11.053807210031348,False,2.713573793943694e-74
79,0DJD8ZZ,1284.0,42.0,"Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic",119622.0,1004.0,1.0619820356309861,4.015296367112811,3.8972800387236104,False,1.1052836259625696e-12
80,3990,1264.0,19.0,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s),119642.0,1027.0,1.0454402593750518,1.8164435946462716,1.7511354812468416,False,0.021413343529737908
94,0W9G3ZZ,1079.0,22.0,"Drainage of Peritoneal Cavity, Percutaneous Approach",119827.0,1024.0,0.8924288290076589,2.1032504780114722,2.385920484823911,False,0.0003612335211798607
98,403,1062.0,20.0,Regional lymph node excision,119844.0,1026.0,0.8783683191901146,1.9120458891013385,2.1997555093005583,False,0.0014397839236709726
113,5122,947.0,21.0,Cholecystectomy,119959.0,1025.0,0.783253105718492,2.0076481835564053,2.5952445463208593,False,0.0001321232691744461
119,598,906.0,21.0,Ureteral catheterization,120000.0,1025.0,0.7493424643938266,2.0076481835564053,2.7136165401389114,False,7.300493685762873e-05
120,0F798DZ,899.0,15.0,"Dilation of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",120007.0,1031.0,0.7435528427042495,1.4340344168260037,1.9421352963579535,False,0.017282645792177254
128,3E0436Z,832.0,43.0,"Introduction of Nutritional Substance into Central Vein, Percutaneous Approach",120074.0,1003.0,0.6881378922468695,4.1108986615678775,6.1871860380397266,False,1.274403354900623e-19
131,8E0W4CZ,817.0,21.0,"Robotic Assisted Procedure of Trunk Region, Percutaneous Endoscopic Approach",120089.0,1025.0,0.6757315600549186,2.0076481835564053,3.011456548347613,False,1.7355500507307348e-05
140,1742,772.0,16.0,Laparoscopic robotic assisted procedure,120134.0,1030.0,0.6385125634790664,1.5296367112810707,2.41730469339504,False,0.0015610105989551238
145,387,752.0,15.0,Interruption of the vena cava,120154.0,1031.0,0.6219707872231319,1.4340344168260037,2.324625441112739,False,0.004375684358430168
146,5011,750.0,33.0,Closed (percutaneous) [needle] biopsy of liver,120156.0,1013.0,0.6203166095975386,3.154875717017208,5.21901678183613,False,1.5912125453956288e-13
160,B548ZZA,653.0,11.0,"Ultrasonography of Superior Vena Cava, Guidance",120253.0,1035.0,0.5400889947562569,1.0516252390057361,1.9571993992794312,False,0.03350614463652539
161,4562,651.0,29.0,Other partial resection of small intestine,120255.0,1017.0,0.5384348171306635,2.7724665391969405,5.2674351689481576,False,3.5013708576258614e-12
171,5361,580.0,12.0,Other open incisional hernia repair with graft or prosthesis,120326.0,1034.0,0.47971151142209656,1.147227533460803,2.4076435669979324,False,0.005770268403427913
174,8605,563.0,12.0,Incision with removal of foreign body or device from skin and subcutaneous tissue,120343.0,1034.0,0.46565100160455225,1.147227533460803,2.480693713904855,False,0.004613535152746865
179,4542,542.0,33.0,Endoscopic polypectomy of large intestine,120364.0,1013.0,0.4482821365358212,3.154875717017208,7.2343883754730935,False,2.5025487392461938e-17
180,0DB98ZX,541.0,17.0,"Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic",120365.0,1029.0,0.44745504772302447,1.6252390057361379,3.6756698982735423,False,9.463820303113327e-06
186,9977,531.0,32.0,Application or administration of an adhesion barrier substance,120375.0,1014.0,0.4391841595950573,3.0592734225621414,7.154080165814195,False,9.989776104033256e-17
190,9607,526.0,24.0,Insertion of other (naso-)gastric tube,120380.0,1022.0,0.43504871553107377,2.294455066921606,5.374387058849791,False,1.578575473984915e-10
196,5451,506.0,25.0,Laparoscopic lysis of peritoneal adhesions,120400.0,1021.0,0.4185069392751394,2.390057361376673,5.826265035054372,False,1.3257968407328248e-11
198,544,501.0,25.0,Excision or destruction of peritoneal tissue,120405.0,1021.0,0.4143714952111558,2.390057361376673,5.884655761933527,False,1.0835541886368844e-11
217,0FT40ZZ,472.0,14.0,"Resection of Gallbladder, Open Approach",120434.0,1032.0,0.390385919640051,1.338432122370937,3.4614291814479046,False,0.00010160253691258069
221,0W9G30Z,467.0,30.0,"Drainage of Peritoneal Cavity with Drainage Device, Percutaneous Approach",120439.0,1016.0,0.3862504755760674,2.8680688336520075,7.615138511861606,False,1.806883542689511e-16
228,8607,452.0,26.0,Insertion of totally implantable vascular access device [VAD],120454.0,1020.0,0.3738441433841166,2.48565965583174,6.792911677945514,False,2.0165534890795389e-13
234,6561,445.0,13.0,Other removal of both ovaries and tubes at same operative episode,120461.0,1033.0,0.36805452169453956,1.24282982791587,3.406665433938458,False,0.00020452336753632307
266,5503,368.0,11.0,Percutaneous nephrostomy without fragmentation,120538.0,1035.0,0.30436868310919224,1.0516252390057361,3.481196177273682,False,0.0005113192807640359
282,4651,340.0,21.0,Closure of stoma of small intestine,120566.0,1025.0,0.2812101963508842,2.0076481835564053,7.26509612625538,False,1.1677915604247276e-11
